Type,Block,ID,Replicate,Family,dam,sire,Height,MSL_W,SB,MSD,Area,P2A2,Circularity,Nindents.Peri,IndentWidthMean,IndentDepthMean
Dune,D1,D1-12,H,D1-A12,AD1-38,AD1-16,447,0.611059044,19,5.27,567.82,0.066930215,54.41,0.170183799,4.74,0.48
Dune,D3,D3-20,G,D3-A20,AD3-119,AD3-04,448,0.556745182,16,4.66,659.01,0.046606088,44.81,0.126519997,7.4,0.82
Dune,D3,D3-24,F,D3-A24,AD3-14,AD3-108,450,0.57038835,17,4.6,1086.89,0.033975367,45.07,0.114804832,7.62,1.03
Dune,D3,D3-17,F,D3-A17,AD3-129,AD3-09,453,0.605333333,17,5.32,836.32,0.032941347,49.56,0.164701232,5.36,0.79
Dune,D3,D3-27,K,D3-A27,AD3-27,AD3-01,453,0.674226804,18,4.18,817.86,0.058343991,54.55,0.141736269,5.37,0.86
Dune,D3,D3-24,K,D3-A24,AD3-14,AD3-108,454,0.416410256,14,4.77,591.87,0.048280089,55.3,0.161476355,5.49,0.74
Dune,D1,D1-04,H,D1-A04,AD1-28,AD1-202A,455,0.414728682,14,5.86,660.36,0.092039409,35.31,0.119796346,7.42,0.99
Dune,D3,D3-11,F,D3-A11,AD3-27,AD3-105,455,0.497512438,17,5.67,1243.75,0.025553709,77.03,0.160949603,5.43,0.52
Dune,D1,D1-18,F,D1-A18,AD1-43,AD1-04,455,0.618004866,18,5.32,816.93,0.176913877,35.42,0.0611158,7.7,2.8
Dune,D1,D1-31,F,D1-A31,AD1-41,AD1-101A,457,0.567231638,17,4.58,902.47,0.056576581,47.84,0.139755893,5.42,1.1
Dune,D1,D1-16,J,D1-A16,AD1-25,AD1-07,460,0.565853659,15,4.09,1032.28,0.052112254,50.05,0.144281774,4.87,1.1
Dune,D3,D3-02,G,D3-A02,AD3-125,AD3-115,461,0.427333975,16,5.04,1162,0.026823223,53.41,0.094582523,9.54,1.45
Dune,D1,D1-04,G,D1-A04,AD1-28,AD1-202A,462,0.594257179,15,5.25,947.49,0.102604905,42.19,0.098846787,6.46,2.06
Dune,D3,D3-06,G,D3-A06,AD3-104,AD3-121,465,0.311661507,16,4.97,1048.61,0.032644279,48.12,0.147788451,5.55,0.97
Dune,D1,D1-31,Z,D1-A31,AD1-41,AD1-101A,465,0.367101304,16,4.64,751.42,0.113149123,41.35,0.098908055,7.26,1.59
Dune,D1,D1-24,G,D1-A24,AD1-49,AD1-16,470,0.331186753,14,4.77,780.12,0.054003869,54.4,0.170996746,4.81,0.72
Dune,D3,D3-07,G,D3-A07,AD3-124,AD3-103,470,0.621730382,18,5.27,625.01,0.045051168,54.96,0.180913614,4.9,0.52
Dune,D1,D1-31,H,D1-A31,AD1-41,AD1-101A,471,0.406747891,17,4.47,953.2,0.054281374,48.92,0.117074928,6.15,1.22
Dune,D3,D3-35,G,D3-A35,AD3-15,AD3-04,473,0.565055762,17,4.59,1378.34,0.034100852,49.05,0.133579539,5.2,0.97
Dune,D1,D1-05,H,D1-A05,AD1-46,AD1-24,475,0.471111111,15,5.06,1808.05,0.024970659,54.04,0.129501943,5.99,1.03
Dune,D1,D1-22,G,D1-A22,AD1-44,AD1-21,477,0.533799534,14,4.82,889.36,0.064403272,46.59,0.101905184,6.73,1.7
Dune,D1,D1-16,G,D1-A16,AD1-25,AD1-07,477,0.656842105,15,4.77,1641.27,0.028855292,54.16,0.096843615,6.66,1.1
Dune,D1,D1-07,F,D1-A07,AD1-42,AD1-21,478,0.611881188,17,5.39,1558.99,0.031385514,52.87,0.101379485,6.13,1.26
Dune,D3,D3-17,G,D3-A17,AD3-129,AD3-09,480,0.498474059,15,5.67,722.88,0.060000871,39.33,0.124244649,7.16,1.05
Dune,D1,D1-06,G,D1-A06,AD1-36,AD1-22,483,0.438834951,16,5.15,764.74,0.076524138,31.8,0.113448357,8.2,0.76
Dune,D1,D1-12,Z,D1-A12,AD1-38,AD1-16,484,0.452674897,15,4.7,704.99,0.081021259,42.16,0.154482484,5.63,0.66
Dune,D3,D3-23,Z,D3-A23,AD3-21,AD3-07,485,0.539823009,17,5.52,804.63,0.039689406,50.11,0.112289457,7.88,0.62
Dune,D1,D1-23,G,D1-A23,AD1-26,AD1-03,487,0.606451613,18,5.71,904.07,0.04423264,45.08,0.110444935,7.34,0.87
Dune,D1,D1-19,H,D1-A19,AD1-44,AD1-02,493,0.631578947,18,4.8,1323.12,0.040004837,49.46,0.132255139,5.6,1.14
Dune,D3,D3-32,G,D3-A32,AD3-104,AD3-112,494,0.587595212,17,3.96,790.45,0.058430042,54.47,0.172711572,4.67,0.86
Dune,D3,D3-27,J,D3-A27,AD3-27,AD3-01,500,0.465116279,15,5.06,1008.03,0.048685626,52.63,0.134879957,4.74,0.64
Dune,D3,D3-14,F,D3-A14,AD3-24,AD3-01,500,0.567539267,15,4.49,1382.43,0.028477768,53.78,0.145741352,5.17,0.93
Dune,D1,D1-24,H,D1-A24,AD1-49,AD1-16,500,0.470967742,16,5.94,1019.45,0.04183328,74.01,0.134286125,5.12,1.09
Dune,D1,D1-19,Z,D1-A19,AD1-44,AD1-02,502,0.624277457,21,4.23,448.15,0.368077837,40.32,0.07355916,6.91,2.77
Dune,D1,D1-22,H,D1-A22,AD1-44,AD1-21,505,0.627494457,15,4.93,443.71,0.163382045,38.17,0.1115138,4.82,1.51
Dune,D1,D1-22,F,D1-A22,AD1-44,AD1-21,505,0.350148368,16,5.15,1153.86,0.064947983,43.04,0.108821329,6.03,1.71
Dune,D3,D3-23,F,D3-A23,AD3-21,AD3-07,505,0.485798237,17,4.97,909.5,0.036651513,57.07,0.13209281,5.28,1.05
Dune,D1,D1-24,Z,D1-A24,AD1-49,AD1-16,510,0.541577825,17,5.49,813.82,0.05937895,39.66,0.121022641,6.27,1.01
Dune,D3,D3-04,H,D3-A04,AD3-127,AD3-107,510,0.685245902,17,4.74,1477.87,0.033931222,50.89,0.121221026,5.75,1.6
Dune,D1,D1-32,H,D1-A32,AD1-25,AD1-203A,515,0.72173913,17,5.03,1030.65,0.049256304,44.61,0.096179068,7.29,1.31
Dune,D1,D1-05,F,D1-A05,AD1-46,AD1-24,518,0.387900356,19,4.93,1099.13,0.042514461,50.19,0.154436747,4.99,1.3
Dune,D1,D1-20,G,D1-A20,AD1-39,AD1-04,520,0.760312152,15,6.42,1259.33,0.123873725,47.21,0.119576743,4.78,1.32
Dune,D1,D1-13,H,D1-A13,AD1-27,AD1-15,524,0.435233161,16,5.3,698.28,0.155865973,42.53,0.09793964,6.55,1.84
Dune,D1,D1-35,F,D1-A35,AD1-42,AD1-07,524,0.468883205,16,5.61,906,0.233003339,29.26,0.075457892,7.13,2.69
Dune,D1,D1-19,F,D1-A19,AD1-44,AD1-02,525,0.561837456,16,4.75,1040.26,0.035666827,47.05,0.137432556,6.02,0.77
Dune,D1,D1-16,F,D1-A16,AD1-25,AD1-07,525,0.65111759,16,4.97,1426.8,0.029506995,57.66,0.134644416,5.02,1.18
Dune,D3,D3-27,H,D3-A27,AD3-27,AD3-01,532,0.501838235,17,5.79,1069.98,0.04709076,66.51,0.146431802,4.37,1.19
Dune,D1,D1-20,F,D1-A20,AD1-39,AD1-04,534,0.621118012,18,4.7,1397.42,0.10283353,28.38,0.08256717,6.76,2.34
Dune,D3,D3-27,G,D3-A27,AD3-27,AD3-01,534,0.826815642,20,4.6,1031.22,0.033665535,50.33,0.121558057,6.39,1.04
Dune,D1,D1-16,L,D1-A16,AD1-25,AD1-07,535,0.566486486,14,3.98,946.56,0.07976853,37.07,0.086032767,8.62,1.72
Dune,D3,D3-04,G,D3-A04,AD3-127,AD3-107,535,0.495705521,18,4.45,1003.63,0.065342654,46.8,0.105242643,6.84,1.56
Dune,D1,D1-18,G,D1-A18,AD1-43,AD1-04,540,0.687150838,16,5.51,667.65,0.055784122,39.63,0.120489568,7.81,0.56
Dune,D1,D1-19,G,D1-A19,AD1-44,AD1-02,541,0.474885845,16,4.84,1029.61,0.039468758,46.36,0.136885847,5.72,0.86
Dune,D1,D1-32,Z,D1-A32,AD1-25,AD1-203A,541,0.505606524,16,4.35,446.73,0.130386415,41.83,0.11778563,6.2,0.82
Dune,D1,D1-16,H,D1-A16,AD1-25,AD1-07,543,0.733463035,15,5.04,733.01,0.054103949,51.83,0.134897361,5.09,1
Dune,D1,D1-02,H,D1-A02,AD1-39A,AD1-101A,545,0.43175736,16,4.88,1015.51,0.078973004,37.08,0.101618894,6.7,1.08
Dune,D1,D1-07,H,D1-A07,AD1-42,AD1-21,550,0.682692308,16,4.69,1159.6,0.093273458,27.94,0.064944233,10.67,2.82
Dune,D1,D1-01,H,D1-A01,AD1-40,AD1-203A,555,0.528643216,16,4.55,995.31,0.058037564,38.75,0.095921261,8.58,0.95
Dune,D3,D3-19,G,D3-A19,AD3-14,AD3-07,555,0.580645161,17,4.2,965.38,0.03628832,48.8,0.13050571,6.31,0.8
Dune,D1,D1-23,H,D1-A23,AD1-26,AD1-03,580,0.382405745,15,5.37,1896.86,0.029765645,61.01,0.09778158,6.4,1.63
Dune,D1,D1-32,F,D1-A32,AD1-25,AD1-203A,585,0.454368932,14,5.02,753.06,0.057954683,37.81,0.115836505,7.69,0.82
Dune,D1,D1-18,H,D1-A18,AD1-43,AD1-04,594,0.449355433,14,5.63,1167.54,0.030215833,48.89,0.118255728,6.27,0.57
Head,H2,H2-25,G,H2-A25,AH2-40A,AH2-03,17,0.252336449,19,3.23,749.37,0.061779813,49.2,0.134220981,4.89,1.15
Head,H2,H2-04,Z,H2-A04,AH2-45,AH2-17,37,0.32183908,17,3.5,629.29,0.05239195,52.17,0.159677867,5.72,0.76
Head,H2,H2-24,F,H2-A24,AH2-42,AH2-21,38,0.166880616,16,3.21,416.27,0.087977713,42,0.113387867,6.63,0.57
Head,H2,H2-06,F,H2-A06,AH2-34,AH2-14,44,0.147414741,13,3.12,596.99,0.0481293,64.44,0.14507139,5.71,0.8
Head,H2,H2-12,Z,H2-A12,AH2-40A,AH2-04,44,0.207126949,16,2.68,350.7,0.110143736,39.19,0.146060658,6.45,0.56
Head,H2,H2-18,J,H2-A18,AH2-40,AH2-08,45,0.314199396,17,2.72,257.86,0.110276743,46.58,0.105103352,7.57,0.62
Head,H1,H1-16,F,H1-A16,AH1-28,AH1-11,45,0.20242915,20,3.23,592.37,0.077689199,40.35,0.102961662,8.51,1.29
Head,H2,H2-08,J,H2-A08,AH2-22,AH2-11,47,0.367772512,18,3.95,518.67,0.071448784,43.85,0.144258511,5.57,0.97
Head,H2,H2-27,G,H2-A27,AH2-34,AH2-03A,48,0.12987013,16,2.86,360.69,0.099947065,38.74,0.114005086,7.13,0.56
Head,H2,H2-24,J,H2-A24,AH2-42,AH2-21,48,0.219679634,18,3.6,589.7,0.061062709,55.1,0.130387044,6.28,1.22
Head,H2,H2-08,F,H2-A08,AH2-22,AH2-11,48,0.208897485,19,3.56,506.41,0.048191525,52.08,0.152918953,5.86,0.58
Head,H2,H2-27,F,H2-A27,AH2-34,AH2-03A,50,0.159663866,14,2.73,457.16,0.067860045,46.01,0.167940213,5.48,0.48
Head,H1,H1-39,Z,H1-A39,AH1-35,AH1-22,50,0.122093023,15,2.71,429.72,0.115133972,47.08,0.130306563,6.09,1.64
Head,H2,H2-25,J,H2-A25,AH2-40A,AH2-03,50,0.246435845,20,3.05,511.95,0.068950481,50.68,0.148776315,5.04,0.61
Head,H1,H1-14,H,H1-A14,AH1-23,AH1-15,52,0.127016129,13,2.23,562.13,0.062320011,51.24,0.12114302,7.14,1.15
Head,H1,H1-42,G,H1-A42,AH1-19,AH1-118,52,0.380228137,16,3.24,700.94,0.052686144,45.07,0.105662254,8.62,1.18
Head,H2,H2-22,H,H2-A22,AH2-35,AH2-01,53,0.337370242,20,3.7,535.27,0.054744477,53.37,0.159693389,5.37,0.62
Head,H2,H2-27,H,H2-A27,AH2-34,AH2-03A,54,0.312734082,17,3.08,481.97,0.056142558,54.27,0.148861646,5.9,0.78
Head,H2,H2-24,K,H2-A24,AH2-42,AH2-21,54,0.19408284,18,2.84,256.21,0.105198584,50.02,0.216606498,4.05,0.37
Head,H2,H2-13,G,H2-A13,AH2-36,AH2-03,54,0.326996198,18,2.99,272.46,0.120247004,42.75,0.16934801,5.35,0.51
Head,H2,H2-09,G,H2-A09,AH2-46,AH2-09,55,0.177777778,15,2.63,606.67,0.091299264,42.99,0.098194316,8.14,1.16
Head,H1,H1-05,Q,H1-A05,AH1-38,AH1-118,55,0.174814815,16,2.67,817.27,0.051007985,43.17,0.081265576,10.81,1.51
Head,H2,H2-04,H,H2-A04,AH2-45,AH2-17,55,0.183313749,16,3.24,655.29,0.044491259,49.52,0.108522645,7.41,0.49
Head,H2,H2-14,F,H2-A14,AH2-32,AH2-01,55,0.254283138,16,3.43,271.52,0.091785433,52.66,0.158035497,4.68,0.47
Head,H2,H2-22,F,H2-A22,AH2-35,AH2-01,55,0.374183007,17,3.36,790.14,0.061294063,48.66,0.112462938,6.22,0.7
Head,H2,H2-18,G,H2-A18,AH2-40,AH2-08,55,0.313059034,18,3.17,394.76,0.067287382,56.46,0.205078125,4.22,0.63
Head,H2,H2-04,G,H2-A04,AH2-45,AH2-17,55,0.389273356,18,3.42,588.75,0.062833778,38.66,0.094863803,8.78,0.54
Head,H2,H2-08,K,H2-A08,AH2-22,AH2-11,55,0.408045977,18,3.57,538.29,0.052399819,47.97,0.146080182,6.09,0.71
Head,H2,H2-02,Z,H2-A02,AH2-33,AH2-20,55,0.346820809,19,3.53,446.16,0.058465627,49.36,0.203930293,4.53,0.62
Head,H2,H2-15,F,H2-A15,AH2-32,AH2-16,55,0.506044905,19,3.22,490.16,0.070850936,48.19,0.153291945,5.49,0.76
Head,H1,H1-29,F,H1-A29,AH1-32,AH1-11,55,0.39103139,20,3.81,411.5,0.103663656,40.84,0.13585931,6.46,1.3
Head,H1,H1-39,F,H1-A39,AH1-35,AH1-22,57,0.109820486,14,2.54,390.31,0.076281314,50.97,0.194805195,4.58,0.86
Head,H1,H1-09,F,H1-A09,AH1-21,AH1-22,57,0.061567164,15,2.54,550.89,0.129364329,32.47,0.085797921,10.29,2.15
Head,H1,H1-13,F,H1-A13,AH1-33,AH1-16,57,0.069790628,16,2.43,319.5,0.231242083,40.19,0.110648269,6.42,2.02
Head,H2,H2-21,H,H2-A21,AH2-45,AH2-02,57,0.12892562,16,3.35,331.52,0.094774535,46.11,0.137174211,5.92,0.44
Head,H2,H2-07,H,H2-A07,AH2-30,AH2-13,57,0.236575875,16,3.24,753.13,0.054178121,44.14,0.142612664,6.03,0.88
Head,H2,H2-15,H,H2-A15,AH2-32,AH2-16,57,0.366666667,17,3.87,654.4,0.037918992,54.72,0.133406576,6.98,0.86
Head,H2,H2-25,F,H2-A25,AH2-40A,AH2-03,57,0.212662338,18,3.05,768.36,0.048515056,46.29,0.118175372,6.92,0.94
Head,H2,H2-24,H,H2-A24,AH2-42,AH2-21,57,0.226305609,18,2.34,826.92,0.03302308,51.5,0.159712517,5.71,0.68
Head,H2,H2-31,H,H2-A31,AH2-47,AH2-12,57,0.431840796,18,3.49,394.21,0.137750361,54.98,0.123026451,5.54,1
Head,H2,H2-21,Z,H2-A21,AH2-45,AH2-02,57,0.195540309,19,2.96,561.54,0.045105366,50.38,0.159315781,6.11,0.69
Head,H1,H1-13,K,H1-A13,AH1-33,AH1-16,58,0.108910891,16,2.87,395.06,0.31529308,38.39,0.094667087,5.11,2.34
Head,H2,H2-25,Z,H2-A25,AH2-40A,AH2-03,58,0.11,17,3.06,283.44,0.104075895,46.23,0.174978128,5.35,0.58
Head,H2,H2-11,F,H2-A11,AH2-48,AH2-05,60,0.106230848,15,2.76,405.68,0.087031399,46.02,0.175467914,5.35,0.65
Head,H2,H2-20,K,H2-A20,AH2-47,AH2-17,60,0.430196484,17,3.05,658.55,0.056056521,45.12,0.096203181,7.76,0.78
Head,H1,H1-20,F,H1-A20,AH1-39,AH1-07,63,0.138983051,16,3.34,534.92,0.051260441,47.99,0.132111304,6.91,0.77
Head,H2,H2-32,F,H2-A32,AH2-35,AH2-44,63,0.284263959,17,3.14,579.61,0.067368195,41.31,0.106354693,8.43,0.77
Head,H2,H2-12,G,H2-A12,AH2-40A,AH2-04,63,0.104982206,19,3.2,494.33,0.061289625,51.82,0.163425396,5.05,0.66
Head,H1,H1-38,K,H1-A38,AH1-38,AH1-10,63,0.32,21,3.07,424.94,0.09745963,40.07,0.143223278,6.09,0.8
Head,H1,H1-41,F,H1-A41,AH1-23,AH1-06,64,0.139834407,15,2.68,439.79,0.152085634,35.24,0.093289021,8.09,1.86
Head,H1,H1-24,G,H1-A24,AH1-27,AH1-109,64,0.152097902,15,3.08,494.55,0.123361382,41.17,0.103626943,6,1.93
Head,H2,H2-29,F,H2-A29,AH2-49,AH2-27,64,0.185483871,15,3.01,288.63,0.0878531,57.48,0.210403273,4.58,0.67
Head,H1,H1-31,G,H1-A31,AH1-26,AH1-09,64,0.07540395,16,2.39,364.59,0.111733684,49.19,0.123081973,6.87,1.4
Head,H2,H2-10,H,H2-A10,AH2-40,AH2-06,64,0.289054198,17,3.22,875.19,0.02558523,60.91,0.13572398,6.02,0.49
Head,H2,H2-08,G,H2-A08,AH2-22,AH2-11,64,0.429767442,18,3.31,485.55,0.041807637,59.99,0.171232877,5.61,0.59
Head,H2,H2-02,C,H2-A02,AH2-33,AH2-20,64,0.134686347,19,3.74,704.39,0.034618956,54.35,0.137341676,6.28,0.73
Head,H1,H1-05,F,H1-A05,AH1-38,AH1-118,65,0.102904564,15,3.02,599.12,0.054331819,46.71,0.143215181,6.61,1.06
Head,H2,H2-14,G,H2-A14,AH2-32,AH2-01,65,0.1826742,15,2.79,418.03,0.078871717,47.79,0.144804089,6.3,0.64
Head,H2,H2-13,F,H2-A13,AH2-36,AH2-03,65,0.244897959,16,2.93,372.63,0.092956013,41.54,0.140832673,6.93,0.72
Head,H2,H2-10,G,H2-A10,AH2-40,AH2-06,65,0.252459016,16,3.52,336.57,0.120450676,36.78,0.102730931,7.19,0.62
Head,H2,H2-33,G,H2-A33,AH2-30,AH2-02,65,0.101867572,17,3.43,191.07,0.141563718,49.33,0.153011545,5.65,0.58
Head,H2,H2-01,H,H2-A01,AH2-28,AH2-21,65,0.190212373,17,2.84,288.95,0.111927819,48.59,0.155167063,5.67,0.46
Head,H1,H1-24,J,H1-A24,AH1-27,AH1-109,65,0.206511628,17,3.31,668.29,0.13992026,34.88,0.104008321,7.09,1.42
Head,H1,H1-02,P,H1-A02,AH1-42,AH1-110,65,0.52446675,18,3.11,790.23,0.039608167,43.07,0.095377376,8.9,0.99
Head,H2,H2-03,G,H2-A03,AH2-42,AH2-18,66,0.207452165,14,4.03,790.31,0.044946296,39.1,0.083557147,9.66,0.8
Head,H2,H2-33,F,H2-A33,AH2-30,AH2-02,66,0.27306968,16,3.1,736.66,0.043357069,46.57,0.123867266,6.66,0.95
Head,H1,H1-20,G,H1-A20,AH1-39,AH1-07,66,0.155555556,17,3.25,830.08,0.061629642,39.08,0.092201679,8.69,1.43
Head,H2,H2-10,F,H2-A10,AH2-40,AH2-06,66,0.21877551,17,3.44,611.56,0.038675548,58.2,0.157977883,4.57,0.41
Head,H1,H1-14,F,H1-A14,AH1-23,AH1-15,67,0.105531915,14,2.36,415.62,0.095753928,36.87,0.132182567,6.45,0.59
Head,H1,H1-22,G,H1-A22,AH1-36,AH1-02,67,0.289935365,16,3.45,674.68,0.106628365,33.57,0.077163996,10.03,2.29
Head,H2,H2-02,F,H2-A02,AH2-33,AH2-20,67,0.217857143,17,3.03,513.75,0.060389176,54.12,0.182178218,4.64,0.84
Head,H1,H1-01,G,H1-A01,AH1-43,AH1-102,67,0.291245791,17,4.07,963.6,0.037027089,58.36,0.129435875,8.08,0.99
Head,H1,H1-24,F,H1-A24,AH1-27,AH1-109,67,0.336,21,3.8,635.69,0.063858194,52.47,0.118276892,5.86,1.61
Head,H1,H1-40,Z,H1-A40,AH1-39,AH1-17,68,0.10935857,13,3.07,450.18,0.078126074,44.15,0.111261225,7.25,1.72
Head,H2,H2-35,G,H2-A35,AH2-28,AH2-31,68,0.160298229,15,3.25,389.11,0.106125482,44.62,0.149889555,6.16,0.66
Head,H2,H2-17,G,H2-A17,AH2-36,AH2-06,68,0.215664018,15,2.82,278.33,0.155428523,38.93,0.09113278,10.01,1.15
Head,H2,H2-20,J,H2-A20,AH2-47,AH2-17,68,0.408376963,17,3.21,792.03,0.06057852,43.7,0.112855238,6.45,1.45
Head,H2,H2-25,K,H2-A25,AH2-40A,AH2-03,68,0.144834931,19,3.35,537.43,0.039041224,72.91,0.113004991,4.89,0.85
Head,H2,H2-28,G,H2-A28,AH2-39,AH2-05,68,0.145519077,19,2.78,286.89,0.128447122,40.59,0.13616028,6.76,0.77
Head,H1,H1-29,Z,H1-A29,AH1-32,AH1-11,68,0.346570397,21,3.45,250.48,0.23769907,54.7,0.10645267,7.3,1.59
Head,H2,H2-30,G,H2-A30,AH2-23,AH2-11,69,0.174698795,17,2.87,449.23,0.046951036,59.95,0.205465379,4.57,0.66
Head,H1,H1-20,Z,H1-A20,AH1-39,AH1-07,70,0.122222222,13,2.85,337.98,0.095159782,60.29,0.153462498,6.4,0.98
Head,H2,H2-19,J,H2-A19,AH2-37,AH2-13,70,0.175,14,3.38,798.53,0.034662845,49.96,0.181610278,5.14,0.46
Head,H1,H1-41,H,H1-A41,AH1-23,AH1-06,70,0.126666667,15,2.77,540.79,0.130728265,40.45,0.092057485,7.08,2.43
Head,H1,H1-30,F,H1-A30,AH1-40,AH1-114,70,0.330044843,15,3.4,765.45,0.05572918,52.75,0.121748755,6.03,1.41
Head,H2,H2-20,H,H2-A20,AH2-47,AH2-17,70,0.382678751,16,3.44,419.16,0.092670538,40.55,0.117554859,7.35,0.6
Head,H2,H2-12,F,H2-A12,AH2-40A,AH2-04,70,0.292732856,18,2.66,628.31,0.051697953,51.31,0.14699706,5.87,0.78
Head,H1,H1-02,S,H1-A02,AH1-42,AH1-110,70,0.402332362,18,2.42,720.46,0.097410252,28.77,0.088944232,8.34,1.81
Head,H2,H2-31,K,H2-A31,AH2-47,AH2-12,72,0.137521222,14,3.76,613.14,0.097619302,44.32,0.114840528,6.24,1.64
Head,H2,H2-19,G,H2-A19,AH2-37,AH2-13,72,0.220729367,14,3.43,689.81,0.057812846,44.86,0.126612806,6.97,0.86
Head,H2,H2-33,H,H2-A33,AH2-30,AH2-02,72,0.129896907,15,3.4,500.21,0.051740083,60.04,0.140622253,6.12,0.88
Head,H2,H2-29,G,H2-A29,AH2-49,AH2-27,72,0.186199343,16,3.06,463.77,0.069337517,47.69,0.147396004,6.3,0.89
Head,H2,H2-34,F,H2-A34,AH2-29,AH2-31,72,0.191044776,16,3.37,346.78,0.093327977,50.45,0.16046819,5.53,0.65
Head,H1,H1-41,G,H1-A41,AH1-23,AH1-06,72,0.242424242,16,2.77,340.24,0.098033185,47.72,0.168966488,5.15,0.57
Head,H1,H1-14,G,H1-A14,AH1-23,AH1-15,73,0.144927536,14,3.3,652.2,0.102956166,42.9,0.0907918,9.36,1.86
Head,H2,H2-21,G,H2-A21,AH2-45,AH2-02,73,0.154432793,16,3.26,530.39,0.05681211,45.42,0.158202816,4.34,0.39
Head,H1,H1-10,G,H1-A10,AH1-20,AH1-109,73,0.238222222,17,2.87,702.65,0.054596198,39.88,0.10354489,8.93,1.19
Head,H1,H1-34,H,H1-A34,AH1-33,AH1-123,73,0.248772504,19,2.86,418.26,0.08941567,52.61,0.103941793,7.15,1.44
Head,H1,H1-34,F,H1-A34,AH1-33,AH1-123,74,0.170909091,15,2.84,668.78,0.320458446,25.47,0.063393117,7.66,4.05
Head,H2,H2-32,H,H2-A32,AH2-35,AH2-44,74,0.222429907,15,2.71,581.81,0.064115208,46.32,0.135758892,6.38,0.93
Head,H2,H2-06,H,H2-A06,AH2-34,AH2-14,74,0.333962264,15,3.07,892.01,0.033358718,47.87,0.128897618,7.32,0.65
Head,H2,H2-28,F,H2-A28,AH2-39,AH2-05,74,0.122905028,16,2.75,415.41,0.068823969,47.97,0.119287943,4.39,0.36
Head,H2,H2-30,H,H2-A30,AH2-23,AH2-11,74,0.26746507,18,3.01,651.24,0.040444691,53.52,0.183248072,4.9,0.62
Head,H2,H2-14,H,H2-A14,AH2-32,AH2-01,74,0.1648,19,3.56,208.34,0.191579534,40.68,0.164491721,5.32,0.73
Head,H2,H2-35,F,H2-A35,AH2-28,AH2-31,75,0.21958457,15,2.88,300.67,0.10354324,47.04,0.165374677,5.48,0.52
Head,H2,H2-02,H,H2-A02,AH2-33,AH2-20,75,0.208171206,17,3.2,451.75,0.047079634,67.25,0.193837992,4.94,0.53
Head,H2,H2-13,H,H2-A13,AH2-36,AH2-03,75,0.365630713,19,2.92,426.96,0.098514472,50.84,0.156704724,4.98,0.52
Head,H1,H1-39,H,H1-A39,AH1-35,AH1-22,76,0.121976866,16,2.99,675.64,0.075177127,44.65,0.113360324,7.17,1.39
Head,H1,H1-43,F,H1-A43,AH1-41,AH1-07,76,0.248262165,17,3.64,436.9,0.273101334,45.91,0.074456903,7.92,3.31
Head,H2,H2-20,F,H2-A20,AH2-47,AH2-17,76,0.247894103,18,3.47,485.84,0.065741619,43.78,0.104358995,7.93,0.83
Head,H2,H2-10,Z,H2-A10,AH2-40,AH2-06,76,0.249554367,18,2.98,375.22,0.081243686,45.14,0.158952782,6.12,0.59
Head,H1,H1-12,F,H1-A12,AH1-37,AH1-17,77,0.132258065,14,3.1,488.86,0.061628575,45.99,0.131839156,6.65,1.31
Head,H1,H1-44,H,H1-A44,AH1-21,AH1-16,77,0.092682927,16,3.23,330.49,0.191063872,41.13,0.124601966,6.28,1.71
Head,H1,H1-14,Z,H1-A14,AH1-23,AH1-15,77,0.142161636,16,2.61,316.93,0.191359663,43.47,0.115406809,6.55,1.77
Head,H2,H2-35,H,H2-A35,AH2-28,AH2-31,77,0.186598813,16,3.19,529.46,0.08320042,57.88,0.104766894,7.42,1.05
Head,H2,H2-31,F,H2-A31,AH2-47,AH2-12,77,0.259319287,16,3.78,504.14,0.085300053,40.31,0.14941592,5.99,1.14
Head,H1,H1-37,H,H1-A37,AH1-43,AH1-13,77,0.132718894,17,3.12,557.44,0.064826436,46.91,0.105685902,8.41,1.09
Head,H1,H1-19,F,H1-A19,AH1-08,AH1-142,77,0.143667297,17,3.66,715.44,0.157975804,50.09,0.084400056,5.53,2.96
Head,H1,H1-18,F,H1-A18,AH1-32,AH1-09,77,0.172124905,18,3.3,521.9,0.087239359,40.69,0.110282193,7.73,1.33
Head,H2,H2-18,K,H2-A18,AH2-40,AH2-08,77,0.179271709,18,3.77,244.37,0.129649503,47.71,0.170473917,5.4,0.53
Head,H2,H2-25,L,H2-A25,AH2-40A,AH2-03,77,0.197035745,18,3.27,686.81,0.046542247,59.2,0.13498009,5.03,0.93
Head,H1,H1-17,F,H1-A17,AH1-27,AH1-10,77,0.258008658,21,3.69,512.18,0.080479635,44.44,0.137646249,6.46,0.94
Head,H2,H2-15,G,H2-A15,AH2-32,AH2-16,77,0.491119691,21,3.46,854.38,0.051878036,53.51,0.113052415,6.56,1.1
Head,H1,H1-33,G,H1-A33,AH1-42,AH1-02,78,0.148373984,15,2.81,481.78,0.077752284,41.17,0.096769391,7.98,1.31
Head,H1,H1-13,G,H1-A13,AH1-33,AH1-16,78,0.100320171,16,2.93,539.23,0.282904911,35.34,0.104598863,4.93,1.81
Head,H2,H2-12,H,H2-A12,AH2-40A,AH2-04,78,0.16,16,3.12,475.47,0.069104176,55.6,0.192015361,3.84,0.82
Head,H1,H1-25,G,H1-A25,AH1-24,AH1-110,78,0.214953271,16,3.44,812.63,0.12632779,48.77,0.100405083,5.66,2.33
