Type,Block,ID,Replicate,Family,dam,sire,Height,MSL_W,SB,MSD,Area,P2A2,Circularity,Nindents.Peri,IndentWidthMean,IndentDepthMean
Dune,D3,D3-19,F,D3-A19,AD3-14,AD3-07,347,0.376376376,18,5.15,485.28,0.075588737,46.51,0.157397692,4.37,0.54
Dune,D3,D3-02,H,D3-A02,AD3-125,AD3-115,347,0.487752929,19,5.75,922.06,0.072510365,62.32,0.112771356,5.39,1.18
Dune,D3,D3-08,H,D3-A08,AD3-30,AD3-108,348,0.468449198,16,4.94,485.52,0.091855737,38.73,0.163098879,5.24,0.51
Dune,D1,D1-02,F,D1-A02,AD1-39A,AD1-101A,350,0.217085427,14,4.87,689.61,0.064309212,44.68,0.148673376,5.13,0.64
Dune,D1,D1-15,G,D1-A15,AD1-26,AD1-09,350,0.394904459,15,5.02,460.41,0.399536239,39.6,0.096213319,5.02,1.9
Dune,D1,D1-28,F,D1-A28,AD1-38,AD1-02,353,0.343434343,16,4.31,909.11,0.085116238,47.53,0.139501565,4.6,1.24
Dune,D1,D1-14,H,D1-A14,AD1-47,AD1-11A,355,0.318181818,15,6.05,1259.58,0.048992999,44.6,0.114777618,7.19,1.58
Dune,D3,D3-18,J,D3-A18,AD3-123,AD3-08,357,0.429319372,15,4.56,666.25,0.064907361,41.65,0.117827265,7.48,0.92
Dune,D1,D1-26,G,D1-A26,AD1-45,AD1-202A,357,0.215652174,16,5.12,738.91,0.132305682,43.86,0.1116196,5.75,1.17
Dune,D1,D1-34,G,D1-A34,AD1-39A,AD1-19,357,0.346718903,16,4.4,983.17,0.059941972,40.58,0.116322546,6.9,1.19
Dune,D1,D1-05,Z,D1-A05,AD1-46,AD1-24,357,0.541884817,16,3.98,633.77,0.105629872,39.75,0.101951646,6.41,1.81
Dune,D1,D1-21,H,D1-A21,AD1-35,AD1-100A,364,0.51,16,4.33,633.9,0.075310806,40.6,0.132214302,5.9,0.65
Dune,D3,D3-31,H,D3-A31,AD3-129,AD3-106,364,0.527173913,18,4.73,1023.18,0.041262371,49.25,0.168398768,4.79,0.71
Dune,D3,D3-16,H,D3-A16,AD3-117,AD3-12,365,0.217258883,14,4.49,778.27,0.057850179,56.82,0.122869811,5.4,1.35
Dune,D3,D3-20,Z,D3-A20,AD3-119,AD3-04,365,0.613480055,16,4.66,939.25,0.053224959,40.72,0.129216854,5.69,0.83
Dune,D1,D1-03,G,D1-A03,AD1-29,AD1-100A,366,0.449484536,15,4.83,665.38,0.090800715,37.43,0.104738155,6.77,1.41
Dune,D1,D1-27,F,D1-A27,AD1-30,AD1-24,367,0.425714286,15,5.26,847.24,0.054230208,36.62,0.116573746,7.91,0.66
Dune,D1,D1-34,H,D1-A34,AD1-39A,AD1-19,368,0.245943638,14,4.86,868.34,0.06217509,43.82,0.129318308,5.45,1.08
Dune,D3,D3-29,F,D3-A29,AD3-118,AD3-114,370,0.437017995,14,4.4,926.33,0.06021513,41.18,0.127579077,5.57,1.14
Dune,D3,D3-10,H,D3-A10,AD3-28,AD3-101,370,0.380295567,19,5.66,739.06,0.045426786,41.72,0.101574403,9.5,0.8
Dune,D3,D3-16,G,D3-A16,AD3-117,AD3-12,373,0.32345679,13,4.49,734.48,0.042333477,46.08,0.105876125,8.36,0.84
Dune,D1,D1-12,F,D1-A12,AD1-38,AD1-16,374,0.454271357,18,5.66,1215.18,0.036509493,49.33,0.116284078,6.28,1.49
Dune,D3,D3-21,K,D3-A21,AD3-118,AD3-03,375,0.338425382,16,4.3,642.98,0.080235774,55.06,0.148245759,4.68,0.92
