studyID	enter	check	reference	journal	year	family	genus	epithet	species	where	studytype	SC	matingsystem	tm_species_Moeller	tm_pop	outcrossing_best	matingsystem_certain	pollinator_group	pollinator	mating_system_evidence	population	lat	lon	environment	morph	traitgroup1	traitgroup2	traitgroup3	traitX	traitY	scale	dimension	method	h2type	nfam	n	h2	mean	Vp	CVa	isCor	corA	Va	evolvability	e_on_log	Ie	notes
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	NA	NA	NA	corolla_lobe_width	corolla_tube_width	NA	NA	NA	phenotypic	NA	70	NA	NA	0.054	NA	0	NA	0.054	NA	NA	NA	NA
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	NA	NA	NA	corolla_lobe_width	stigma_nectary_distance	NA	NA	NA	phenotypic	NA	70	NA	NA	0.493	NA	0	NA	0.493	NA	NA	NA	NA
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	NA	NA	NA	corolla_lobe_width	stigma_exsertion	NA	NA	NA	phenotypic	NA	70	NA	NA	0.219	NA	0	NA	0.219	NA	NA	NA	NA
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	NA	NA	NA	corolla_lobe_width	flower_number	NA	NA	NA	phenotypic	NA	70	NA	NA	0.527	NA	0	NA	0.527	NA	NA	NA	NA
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	NA	NA	NA	corolla_tube_length	corolla_tube_width	NA	NA	NA	phenotypic	NA	70	NA	NA	0.08	NA	0	NA	0.08	NA	NA	NA	NA
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	NA	NA	NA	corolla_tube_length	stigma_nectary_distance	NA	NA	NA	phenotypic	NA	70	NA	NA	1.655	NA	0	NA	1.655	NA	NA	NA	NA
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	NA	NA	NA	corolla_tube_length	stigma_exsertion	NA	NA	NA	phenotypic	NA	70	NA	NA	0.309	NA	0	NA	0.309	NA	NA	NA	NA
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	NA	NA	NA	corolla_tube_length	flower_number	NA	NA	NA	phenotypic	NA	70	NA	NA	0.008	NA	0	NA	0.008	NA	NA	NA	NA
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	NA	NA	NA	corolla_tube_width	stigma_nectary_distance	NA	NA	NA	phenotypic	NA	70	NA	NA	0.11	NA	0	NA	0.11	NA	NA	NA	NA
p1	ØO	ØO	Caruso_etal_2003	American_Journal_of_Botany	2003	Campanulaceae	Lobelia	cardinalis	Lobelia_cardinalis	North_America	natural	SC	M	NA	NA	NA	NA	Bird	Hummingbird	Author_description	Airport	41.746667	-93.388333	field	all	NA	NA	NA	corolla_tube_width	stigma_exsertion	NA	NA	NA	phenotypic	NA	70	NA	NA	0.024	NA	0	NA	0.024	NA	NA	NA	NA
