0,10,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,
48,198.26,202.32,0,0,200.63,200.63,106.23,127.71,194.11,198.23,232.37,234.3,128.26,131.46,205.95,205.95,140.27,144.23,256.81,266.64,,,,,,,,,,,,,,
49,190.21,196.35,232.08,249.57,198.83,198.83,95.62,95.62,198.04,198.04,211.14,228.36,128.27,131.42,205.9,205.9,144.23,146.18,231.41,231.41,,,,,,,,,,,,,,
50,200.53,200.53,214.5,228.09,251.4,251.4,106.35,106.35,197.95,197.95,230.29,230.29,121.62,128.37,194.62,194.62,144.24,144.24,237.08,237.08,,,,,,,,,,,,,,
51,180.03,180.03,236.5,236.5,231.4,231.4,106.34,106.34,198.09,198.09,236.06,236.06,131.42,131.42,205.91,205.91,146.09,146.09,243.41,289.47,,,,,,,,,,,,,,
52,179.95,179.95,218.34,218.34,0,0,106.25,106.25,198.23,198.23,230.3,248.97,122.13,128.3,205.95,205.95,144.11,144.11,250.99,250.99,,,,,,,,,,,,,,
53,181.31,181.31,227.14,240.76,200.4,200.4,101,106.37,198.03,198.03,216.43,222.53,131.51,134.61,194.58,208.02,146.24,146.24,243.39,289.55,,,,,,,,,,,,,,
54,190.17,190.17,238.87,240.82,200.67,200.67,106.36,106.36,198.06,198.06,241.11,250.77,118.64,131.53,205.96,205.96,146.23,146.23,260.63,278.15,,,,,,,,,,,,,,
55,0,0,229.14,229.14,198.84,198.84,106.35,106.35,198.07,198.07,247.04,248.97,131.49,131.49,194.61,208,144.17,144.17,253.06,266.42,,,,,,,,,,,,,,
56,200.41,206.44,229.15,233.04,200.45,200.45,106.19,111.37,198.22,198.22,213.03,234.08,122.11,131.47,205.98,208.02,144.19,144.19,0,0,,,,,,,,,,,,,,
58,186.07,196.3,223.22,223.22,200.5,200.5,95.49,106.24,198.17,198.17,236.13,240.26,127.37,134.63,205.94,205.94,144.26,144.26,229.26,229.26,,,,,,,,,,,,,,
59,184.05,190.21,232.08,232.08,198.74,200.69,95.64,95.64,197.98,197.98,230.28,237.36,122.16,131.45,205.95,208,0,0,235.02,235.02,,,,,,,,,,,,,,
60,184.09,184.09,229.16,250.52,198.81,198.81,95.69,117.05,199.02,199.02,234.21,248.98,131.37,137.72,207.85,211.93,144.26,146.19,249.2,260.66,,,,,,,,,,,,,,
66,190.16,202.36,229.18,252.5,200.65,200.65,95.67,95.67,198.02,198.02,208.94,227.51,131.36,134.5,205.87,205.87,0,0,0,0,,,,,,,,,,,,,,
67,201.81,201.81,230.11,253.44,198.83,198.83,95.84,95.84,197.92,197.92,227.53,227.53,131.48,134.53,207.89,207.89,144.24,144.24,257.04,257.04,,,,,,,,,,,,,,
68,0,0,234.14,251.62,200.63,200.63,95.51,95.51,198.1,198.1,216.49,234.18,124.42,131.39,205.91,207.94,144.2,146.23,258.75,258.75,,,,,,,,,,,,,,
69,184.08,184.08,230.09,233.99,200.58,200.58,95.42,106.2,197.85,202.98,0,0,131.39,131.39,207.94,207.94,,,266.7,289.54,,,,,,,,,,,,,,
70,196.4,198.45,228.12,235.88,198.79,200.59,95.46,127.6,198.1,198.1,232.22,248.95,0,0,0,0,140.17,144.09,227.88,231.43,,,,,,,,,,,,,,
71,190.13,190.13,227.24,233.08,198.77,198.77,95.52,106.29,198.3,198.3,232.29,252.92,155.79,122.14,195.65,205.94,142.24,144.22,282.06,282.06,,,,,,,,,,,,,,
72,184.1,190.15,230.08,240.79,200.61,200.61,95.6,111.51,198.08,198.08,234.16,234.16,131.36,131.36,0,0,0,0,0,0,,,,,,,,,,,,,,
73,0,0,214.48,218.39,200.58,200.58,106.39,106.39,198.02,198.02,229.51,229.51,122.04,122.04,0,0,144.22,144.22,245.33,291.46,,,,,,,,,,,,,,
74,196.31,196.31,213.58,229.18,200.6,200.6,106.28,106.28,0,0,229.39,229.39,122.15,131.52,201.82,205.93,144.24,144.24,0,0,,,,,,,,,,,,,,
75,184.07,190.18,229,234.84,0,0,95.67,95.67,198.04,198.04,208.94,234.14,131.32,131.32,0,0,0,0,241.09,241.09,,,,,,,,,,,,,,
76,184.02,196.25,230.12,236.04,200.7,200.7,95.64,95.64,197.92,197.92,213.11,234.17,122.05,131.39,205.91,207.96,142.24,144.27,241.14,258.75,,,,,,,,,,,,,,
77,190.15,196.28,235.06,237.01,200.83,200.83,95.66,95.66,198.04,198.04,234.21,236.14,128.26,131.44,0,0,0,0,0,0,,,,,,,,,,,,,,
78,184.03,184.03,227.22,227.22,198.84,251.44,101.03,101.03,186.84,198.23,209.16,248.83,128.2,131.34,0,0,0,0,243.33,289.47,,,,,,,,,,,,,,
79,184.08,184.08,228.18,228.18,202.64,202.64,101.02,101.02,186.95,198.34,209.28,248.95,128.36,131.51,194.57,205.92,0,0,243.45,289.46,,,,,,,,,,,,,,
80,184.19,197.25,232.05,239.82,200.76,200.76,95.63,106.42,190.78,200.1,237.34,237.34,131.4,131.4,0,0,140.12,146.15,231.39,231.39,,,,,,,,,,,,,,
81,184.14,184.14,228.14,233.98,198.85,200.61,95.58,117.02,198.12,198.12,213.14,246.98,128.23,131.36,207.87,210.01,144.25,146.17,237.01,258.67,,,,,,,,,,,,,,
82,200.38,202.44,243.67,243.67,200.8,200.8,106.45,106.45,198.03,198.03,216.39,232.13,131.37,131.37,195.63,205.87,142.23,144.23,231.37,239.05,,,,,,,,,,,,,,
83,200.47,200.47,217.51,217.51,198.87,198.87,106.4,106.4,189.72,198.03,209.07,209.07,131.23,131.23,207.91,207.91,144.23,144.23,231.43,231.43,,,,,,,,,,,,,,
84,177.88,177.88,234.9,236.86,200.55,200.55,106.41,106.41,198.07,198.07,234.17,234.17,122.01,122.01,0,0,142.29,142.29,243.39,289.55,,,,,,,,,,,,,,
85,190.12,192.14,233.93,237.82,197.76,199.61,95.61,106.42,198.05,198.05,216.48,237.39,122.18,131.48,205.95,208.01,144.22,146.28,253.93,262.54,,,,,,,,,,,,,,
86,0,0,230.01,230.01,200.57,200.57,0,0,0,0,237.38,237.38,134.58,134.58,218.22,218.22,0,0,0,0,,,,,,,,,,,,,,
2D,190.14,200.34,227.15,232.99,200.58,200.58,95.65,106.38,198.17,198.17,234.25,252.91,131.47,131.47,0,0,140.28,146.21,256.77,256.77,,,,,,,,,,,,,,
N1,180.02,180.02,235.61,245.49,198.75,198.75,106.38,106.38,198.04,200.1,228.38,230.32,128.27,131.46,201.83,205.9,0,0,0,0,,,,,,,,,,,,,,
N2,190.18,199.11,229.09,251.54,198.85,200.62,106.41,111.58,198.07,198.07,227.52,232.25,131.35,131.35,205.93,205.93,142.17,144.15,249.18,251.15,,,,,,,,,,,,,,
N26,184.09,192.3,227.27,231.16,198.82,200.54,95.63,106.35,185.62,200.1,237.28,250.88,131.35,131.35,205.84,205.84,146.16,146.16,227.85,227.85,,,,,,,,,,,,,,
N3,190.2,192.23,241.82,241.82,200.58,200.58,127.75,127.75,198.05,198.05,208.87,208.87,131.38,134.52,207.93,207.93,144.21,144.21,231.41,240.41,,,,,,,,,,,,,,
N5,190.33,190.33,237.88,239.82,198.8,198.8,106.16,111.55,198.18,198.18,234.09,236.01,122.09,122.09,207.93,209.98,144.26,146.21,248.19,248.19,,,,,,,,,,,,,,
N8,0,0,233.9,245.55,200.42,200.42,95.55,106.31,198.12,198.12,0,0,128.23,131.38,205.93,205.93,144.26,146.27,233.15,233.15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
