population	pop	plant	seed	flower	measdate	Shootthickness	Stemthickness	GAD	ASD	Adepth	Awidth	GSDR	GSDC	GSDL	nMalesR	nMalesC	nMalesL	GWTot	GHR	GHL	GNR	GNL	SWR	SWC	SWL	SLR	Srrs	SLC	Scrs	SLL	Slrs	UBR	UBC	UBL	UBW	LBR	LBC	LBL	LBW																																																																																																																																																																																																																							
CH	China	4	1	2	27.04.2009	NA	NA	3.62	0	0.92	2.09	3.25	4.62	3.85	3	3	3	5.76	2.46	2.38	11	9	1.58	1.8	1.8	7.29	2.53	7.63	2.87	7.72	3.07	19.21	22.9	20.57	22.96	20.66	24.26	21.04	25.53																																																																																																																																																																																																																							
CH	China	4	1	1	20.04.2009	NA	NA	3.28	0	1.01	1.71	3.75	4.55	4.21	3	2	3	4.58	1.75	1.95	9	9	1.41	1.46	1.47	6.96	2.44	7.05	2.45	6.69	2.63	14.76	18.27	15.45	17.71	17.65	20.93	17.05	21.79																																																																																																																																																																																																																							
CH	China	4	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CH	China	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CH	China	4	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CH	China	4	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CH	China	5	2	2	15.09.2008	NA	NA	2.11	0	NA	NA	3.67	3.97	2.23	3	3	3	4.29	1.41	1.54	9	9	1.26	1.16	1.11	6.46	NA	6.68	NA	5.98	NA	13.18	15.49	12.32	15.16	14.38	16.68	14.52	15.99																																																																																																																																																																																																																							
CH	China	5	2	1	09.09.2008	NA	NA	2.51	0	NA	NA	3.21	2.97	3.36	3	3	3	4.46	2	1.97	10	10	1.36	1.36	1.26	7.09	NA	7.38	NA	7.2	NA	14.74	17.31	14.43	17.75	15.31	17.67	15.92	18.39																																																																																																																																																																																																																							
CH	China	11	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CH	China	11	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CH	China	11	3	1	19.05.2009	NA	NA	3.43	0	1.01	1.85	0.81	0.84	0.77	3	3	3	4.25	1.6	1.63	10	9	0.87	0.94	0.81	6.36	2.19	7.38	2.41	6.34	2.69	15.99	19.79	16.86	18.71	17.27	21.9	17.47	20.79																																																																																																																																																																																																																							
CH	China	11	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CH	China	12	1	2	13.10.2008	NA	NA	3.08	0	1.01	2.06	3.69	4.03	3.89	4	3	3	4.72	1.83	1.65	8	7	1.01	1.05	1.06	6.72	NA	6.34	NA	6.63	NA	13.71	16.15	14.82	14.95	15.21	17.61	14.46	16.4																																																																																																																																																																																																																							
CH	China	12	1	1	19.09.2008	NA	NA	3.68	0	NA	NA	4.39	4.71	4.23	3	3	3	5.03	1.91	2.01	8	8	1.22	1.23	1.12	7.19	NA	6.92	NA	7.3	NA	14.93	18.6	16.46	19.01	18.33	20.75	17.57	20.61																																																																																																																																																																																																																							
CH	China	12	2	1	20.04.2009	NA	NA	3.35	0	0.8	2.2	5.08	4.91	4.45	3	3	2	5.13	1.64	1.71	8	9	1.16	1.21	1.15	7.29	2.62	6.92	2.34	7.15	2.07	14.05	16.9	14.45	17.13	15.49	17.89	15.04	17.11																																																																																																																																																																																																																							
CH	China	12	2	2	19.05.2009	NA	NA	2.33	0	1.31	1.76	2.17	4.2	3.6	3	3	3	5.18	1.94	1.93	11	10	1.34	1.42	1.21	6.73	2.62	6.58	2.63	6.74	2.44	17.18	21.05	17.64	19.61	18.44	21.69	18.71	21.35																																																																																																																																																																																																																							
CH	China	12	3	1	02.03.2009	NA	NA	3	0	0.76	2.25	2.75	3.98	3.71	3	3	3	4.79	2	2.2	9	10	0.91	1.04	1.01	7.17	2.58	7.03	2.4	7.57	2.41	16.45	19.59	17.22	18.94	17.01	21	17.92	19.78																																																																																																																																																																																																																							
CH	China	12	3	2	16.03.2009	NA	NA	2.95	0	0.86	2.06	4.07	5.08	4.82	3	3	3	4.7	1.8	1.82	8	9	1.09	1.36	1.09	7.08	2.85	6.94	2.68	7.29	2.72	15.41	17.28	15.05	18.2	17.34	19.02	16.05	20.37																																																																																																																																																																																																																							
CN	Champotón	3	9	1	16.03.2009	NA	NA	5.71	3.19	1.1	2.28	5.56	6.65	5.6	3	3	3	7.44	3.55	4.29	12	13	1.42	1.37	1.39	8.14	3.22	7.7	3.34	7.81	3.55	25.12	27.55	25.39	27.51	24.32	28.78	25.25	29.3																																																																																																																																																																																																																							
CN	Champotón	3	9	2	01.04.2009	NA	NA	6.72	3.27	1.27	2.42	5.65	6.48	6.32	3	3	3	7.38	3.48	3.89	13	14	1.33	1.31	1.17	7.71	3.91	7.69	3.73	7.82	4.09	21.76	23.92	21.98	24.49	21.88	26	22.11	25.42																																																																																																																																																																																																																							
CN	Champotón	3	12	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CN	Champotón	3	12	1	27.04.2009	NA	NA	5.44	3.89	1.08	2.57	5.24	6.42	6.72	3	3	3	8.59	3.89	4.24	13	12	1.39	1.73	1.53	8.47	3.86	8.5	3.81	8.65	4.03	23.66	25.59	23.94	27.05	23.92	27.49	22.99	29.09																																																																																																																																																																																																																							
CN	Champotón	3	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CN	Champotón	3	13	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CO	Cozumel	1	1	1	28.11.2008	NA	NA	3.63	0.75	1	2.01	2.56	3.69	3.4	3	2	3	6.02	2.21	2.22	11	10	1.14	1.46	1.17	7.44	2.75	7.92	3.01	7.11	2.74	15.85	19.05	16.12	20.01	17.12	21.18	17.67	19.87																																																																																																																																																																																																																							
CO	Cozumel	1	1	2	08.12.2008	NA	NA	3.3	0.63	0.96	1.88	3.68	3.4	3.94	3	2	3	5.08	2.03	2.11	9	9	0.79	1.05	0.9	6.36	2.62	6.67	2.22	6.68	2.22	14.73	17.55	14.97	17.62	15.41	19.18	16.38	17.6																																																																																																																																																																																																																							
CO	Cozumel	2	2	1	21.10.2008	NA	NA	2.85	0	1.07	2.1	2.62	3.98	2.25	3	2	3	5.29	1.98	2.01	8	6	1.15	1.26	1.18	6.8	2.53	7.13	2.59	6.97	3.05	15.69	18.96	15.76	18.42	17.51	21.64	17.45	20.79																																																																																																																																																																																																																							
CO	Cozumel	2	2	2	24.11.2008	NA	NA	3.07	0	0.92	2.12	2.22	3.01	2.31	3	3	3	5.17	2.13	2.13	9	10	1.09	1.31	1.29	6.83	2.55	7.08	2.84	6.93	3.13	15.6	20.3	16.11	19.4	17.59	21.29	17.48	20.63																																																																																																																																																																																																																							
CO	Cozumel	4	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CO	Cozumel	4	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CO	Cozumel	4	4	2	02.03.2009	NA	NA	3.15	0	1.09	2.07	3.53	4.63	4.2	3	3	3	6.46	2.54	2.87	9	9	1.3	1.47	1.4	8.36	4.01	8.48	3.88	8.37	4.2	18.02	20.92	16.39	21.54	18.03	22.65	18.61	21.85																																																																																																																																																																																																																							
CO	Cozumel	4	4	1	28.11.2008	NA	NA	3.14	0	1.08	1.97	2.72	3.36	3.72	3	2	3	5.8	2.42	2.36	10	11	1.43	1.26	1.15	7.51	3.36	7.04	3.19	7.19	3.42	16.24	18.63	15.77	19.76	18.3	21.01	17.6	20.86																																																																																																																																																																																																																							
CO	Cozumel	6	3	2	30.10.2008	NA	NA	3.46	0	0.77	1.85	2.67	3.45	3.28	3	3	3	5.19	1.9	1.83	8	8	1.11	1.19	1.09	6.44	3.07	6.9	2.97	6.6	2.4	16.75	18.49	15.6	19.6	17.24	20.29	17.07	21.37																																																																																																																																																																																																																							
CO	Cozumel	6	3	1	28.10.2008	NA	NA	3.52	0	1.14	1.94	3.3	4	4.27	3	3	3	6.11	2.24	2.01	10	9	1.28	1.45	1.45	7.27	2.9	7.57	3.51	7.25	2.9	16.83	20.95	17.22	22.72	19.56	23.56	19.3	24.39																																																																																																																																																																																																																							
CO	Cozumel	7	3	2	07.01.2009	NA	NA	2.84	0.75	1.02	1.81	2.8	3.91	2.99	1	2	3	4.93	2.39	1.78	8	8	1.07	0.93	0.99	6.27	2.36	6.29	2.25	6.16	2.43	16.08	19.5	16.18	21.22	16.71	20.08	16.9	20.65																																																																																																																																																																																																																							
CO	Cozumel	7	3	1	17.12.2008	NA	NA	3.03	0	1.1	2.08	3.1	3.8	3.34	3	3	2	6.31	2.18	2.63	9	9	0.97	1.41	1.11	7.91	3.43	7.79	3.09	7.88	3.15	17.65	20.98	17.76	23.61	20.01	22.54	19.22	23.93																																																																																																																																																																																																																							
CO	Cozumel	9	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CO	Cozumel	9	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CO	Cozumel	9	4	1	25.11.2008	NA	NA	3.3	1.05	1.18	1.98	2.75	3.17	2.57	3	2	3	4.93	1.73	1.89	7	9	0.93	1.15	1.13	5.95	2.19	6.5	2.45	6.23	2.63	12.39	15.09	14.03	17.21	15.64	17.79	15.96	18.85																																																																																																																																																																																																																							
CO	Cozumel	9	4	2	08.12.2008	NA	NA	3.54	0	1	1.87	3.36	4.77	2.86	2	2	3	4.66	2.3	1.88	6	9	0.85	1	0.95	6.76	3.16	7.23	2.53	7.02	2.49	14.98	17.4	15.4	17.74	16.26	19.65	16.78	18.43																																																																																																																																																																																																																							
CO	Cozumel	12	2	1	13.10.2008	NA	NA	2.63	1.07	1.26	2	3.84	5.16	4.29	3	2	3	5.1	2.01	2.04	9	8	0.95	1.24	1.22	7.13	NA	7.11	NA	7.08	NA	14.61	17.08	14.09	18.27	16.82	19.78	16.88	19.95																																																																																																																																																																																																																							
CO	Cozumel	12	2	2	24.10.2008	NA	NA	3.22	0	1.03	2	2.84	4.46	3.44	3	3	3	5.23	2.16	1.9	9	9	1.31	1.4	1.14	7.61	2.95	7.73	3.35	7.71	3	16.43	19.58	16.96	21.6	18.16	21.76	19.11	22.65																																																																																																																																																																																																																							
CO	Cozumel	12	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CO	Cozumel	12	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CO	Cozumel	14	1	2	05.03.2009	NA	NA	3.88	0.52	0.74	1.98	3.68	4.43	3.88	3	3	3	5.1	2.17	2.12	12	12	1.03	1.14	1.13	8.07	2.84	8.08	2.88	8.02	2.8	15.53	18.18	16.13	20.26	17.57	20.81	18.08	20.59																																																																																																																																																																																																																							
CO	Cozumel	14	1	1	24.10.2008	NA	NA	2.74	0.45	1.07	1.69	2.61	3.17	2.78	3	1	3	4.27	1.74	1.69	8	6	0.68	0.69	0.86	5.38	1.77	5.36	1.73	5.41	1.62	13.71	15.97	13.74	15.89	13.78	16.67	13.37	13.99																																																																																																																																																																																																																							
CO	Cozumel	15	1	1	11.09.2008	NA	NA	3.02	0	NA	NA	3.11	4.32	3.92	3	2	3	5.89	2.16	2.04	9	9	1.14	1.2	1.29	6.87	NA	7.18	NA	6.97	NA	16.5	19.22	17.72	22.37	18.52	21.35	19.16	23.46																																																																																																																																																																																																																							
CO	Cozumel	15	1	2	22.10.2008	NA	NA	3.06	1.71	1.19	2.3	4.53	5.26	4.53	3	3	3	6.27	2.29	2.3	10	11	1.08	1.53	1.34	7.52	3.41	7.63	3.56	7.68	3.09	17.8	21.51	19.35	22.67	18.99	23.12	19.37	23.62																																																																																																																																																																																																																							
CO	Cozumel	15	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CO	Cozumel	15	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CO	Cozumel	16	3	2	30.10.2008	NA	NA	3.93	0	1.14	1.48	3.57	3.39	2.3	3	3	3	5.17	1.92	1.97	9	10	1.1	1.19	1.06	7.09	2.67	7.26	2.66	6.8	2.89	15.95	19.23	15.93	19.86	17.12	19.75	15.78	20.47																																																																																																																																																																																																																							
CO	Cozumel	16	3	1	27.10.2008	NA	NA	3.31	0	0.99	1.82	3.08	4.31	2.3	3	3	3	5.29	2.17	2.04	10	8	1.09	1.5	1.2	7.26	2.88	7.41	2.2	7.55	2.3	14.43	17.6	15.76	18.52	15.76	19	16.8	19.36																																																																																																																																																																																																																							
CO	Cozumel	16	4	2	16.02.2009	NA	NA	3.67	0	1.16	1.72	3.02	4.06	2.32	3	2	3	5.24	2.24	2.09	7	9	1.04	1.24	1.25	7.39	2.69	7.67	3.18	7.19	2.58	16.7	20.91	17.18	20.5	19.51	23.57	19.06	21.73																																																																																																																																																																																																																							
CO	Cozumel	16	4	1	22.10.2008	NA	NA	3.26	0	1.1	2.06	2.65	4.75	3.77	3	2	3	5.75	2.24	2.27	9	9	1.22	1.42	1.23	7.79	3.6	8.08	3.23	8.52	3.05	16.69	19.98	16.23	20.47	18.83	21.93	18.98	22.49																																																																																																																																																																																																																							
CP	Felipe_Carillo_Puerto	5	3	1	16.03.2009	NA	NA	6.18	1.98	0.81	1.86	5.07	6.68	5.45	3	3	3	7.54	2.93	2.73	9	9	1.82	2.1	1.86	8.24	2.93	9.09	2.66	8.43	2.43	21.09	21.88	20.59	24	20.01	22.99	20.79	21.83																																																																																																																																																																																																																							
CP	Felipe_Carillo_Puerto	5	3	2	06.05.2009	NA	NA	5.84	0.83	0.96	1.89	5.02	5.86	5.07	2	3	2	8.21	2.76	2.93	7	8	1.68	2.36	1.99	8.69	2.87	8.89	3.36	9.01	2.98	20.36	21.31	19.7	22.85	21.14	24.41	21.35	22.28																																																																																																																																																																																																																							
D	Dzemul	4	1	1	22.10.2008	NA	NA	3.51	0	0.9	1.51	4.07	4.5	5.04	0	1	2	4.81	1.87	1.4	7	8	1.02	1.09	1.09	6.72	2.1	7.15	2.44	7.82	2.31	16.52	18.56	17.51	20.1	17.65	20.93	17.6	20.32																																																																																																																																																																																																																							
D	Dzemul	4	1	2	24.10.2008	NA	NA	4	0	0.83	1.97	4.27	5.14	4.66	1	0	2	5.26	1.8	1.06	8	9	1.13	1.1	0.97	7.58	2.39	7.67	2.39	7.48	2.69	16.5	19.99	15.64	20.29	18.62	20.66	17.18	23.51																																																																																																																																																																																																																							
D	Dzemul	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
D	Dzemul	4	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
D	Dzemul	5	3	2	23.03.2009	NA	NA	3.32	0	0.74	1.35	3.7	4.4	3.92	0	1	0	3.67	1.47	1.14	5	5	0.68	0.61	0.7	6.6	2.45	6.88	2.36	6.97	2.59	16.39	19.04	15.39	18.07	16.24	20.72	17.84	19.92																																																																																																																																																																																																																							
D	Dzemul	5	3	1	25.11.2008	NA	NA	3.52	0.44	0.72	1.64	4.89	4.76	5.16	0	0	0	5.01	1.69	1.94	8	9	0.7	0.91	0.78	7.26	2.17	7.3	2.01	7.15	1.96	16.02	21.63	16.25	21.03	19.51	23.34	19.6	23.01																																																																																																																																																																																																																							
E	El_Limón	2	5	1	22.10.2008	NA	NA	3.88	1.2	0.89	2.28	6.6	7.04	6.19	3	1	3	5.07	1.51	1.61	8	8	1	1.11	0.98	8.19	3.11	8.41	3.9	7.96	3.65	14.39	18.05	14.57	15.5	17.33	20.54	16.92	17																																																																																																																																																																																																																							
E	El_Limón	2	5	2	08.12.2008	NA	NA	3.69	0	1.54	2.02	4.21	5.21	4.09	3	3	2	4.73	1.28	1.68	8	7	0.63	0.81	0.75	7.08	3	8.05	3.04	7.57	2.81	16.29	17.3	16.01	15.75	18.36	21.02	17.84	18.09																																																																																																																																																																																																																							
E	El_Limón	2	6	1	10.11.2008	NA	NA	3.91	0	0.87	2.08	4.21	4.79	3.98	2	3	3	4.99	1.85	1.57	9	8	0.84	0.87	0.91	7.15	2.61	7.8	2.71	7.76	2.56	15.87	18.85	16.25	18.59	18.2	21.85	18.14	20.69																																																																																																																																																																																																																							
E	El_Limón	2	6	2	09.12.2008	NA	NA	3.95	0	1.38	2.16	5.33	4.69	5.27	3	3	3	4.7	1.41	1.56	6	7	0.95	0.85	0.71	8.96	3.66	8.81	3.8	8.96	3.63	15.54	18.45	15.05	17.63	19.03	21.52	18.2	19.31																																																																																																																																																																																																																							
E	El_Limón	3	6	2	01.04.2009	NA	NA	4.12	0	1.08	2.24	5.51	4.55	7.24	3	0	3	5.9	2.26	2.36	11	12	1.19	1.28	1.02	8.97	3.51	9.38	3.72	9.19	3.49	20.33	25.57	21.44	22.83	24.04	27.88	23.45	26.97																																																																																																																																																																																																																							
E	El_Limón	3	6	1	12.12.2008	NA	NA	3.81	0	0.95	2.45	5.21	5.87	5.11	3	3	3	4.71	1.58	1.74	10	9	0.72	0.73	0.59	6.88	3.43	6.75	3.5	6.65	3.67	14.16	15.88	13.6	12.54	15.96	18.16	15.67	15.14																																																																																																																																																																																																																							
E	El_Limón	3	7	1	20.04.2009	NA	NA	4.25	0	0.91	2.39	5.23	4.83	5.15	3	3	3	5.13	1.59	1.69	7	7	0.97	0.86	0.92	7.29	3.37	8.21	3.39	7.59	3.46	14.38	18.33	15.41	15.58	17.7	20.65	17.46	18.17																																																																																																																																																																																																																							
E	El_Limón	3	7	2	19.05.2009	NA	NA	4.03	0	1.37	2.75	6.07	6.1	4.47	3	3	3	5.37	2.26	2	10	10	0.97	0.93	1.04	8.62	3.36	8.57	3.65	8.24	3.37	18.71	21.57	17.74	20.86	20.51	25.95	21.73	24.62																																																																																																																																																																																																																							
E	El_Limón	4	3	2	09.12.2008	NA	NA	3.79	0.82	0.94	1.97	4.76	3.6	4.46	2	3	3	4.94	1.57	1.85	9	9	0.74	0.8	0.76	7.02	2.77	7.33	2.86	7.19	3.22	15.13	17.23	15.08	15.91	16.86	19.87	16.47	19.6																																																																																																																																																																																																																							
E	El_Limón	4	3	1	25.11.2008	NA	NA	4.11	0.86	1.17	2.1	4.39	4.24	3.52	3	3	3	5.26	1.56	1.6	8	8	0.94	0.81	0.92	6.7	2.98	7.33	2.99	6.79	2.83	15.3	18.68	15.43	17.04	16.82	20.95	17.67	19.52																																																																																																																																																																																																																							
E	El_Limón	4	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
E	El_Limón	4	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
E	El_Limón	5	3	1	28.10.2008	NA	NA	4.09	0.43	0.88	1.89	4.49	4.82	5.45	3	1	3	4.72	1.57	1.38	6	7	0.94	0.97	0.92	7.74	2.86	8.2	2.77	7.58	2.98	15.42	18.46	15.52	15.87	19.09	21.98	19.03	18.01																																																																																																																																																																																																																							
E	El_Limón	5	3	2	16.02.2009	NA	NA	3.53	0	0.61	2.59	4.2	5.13	5.61	3	3	3	4.79	1.8	1.93	12	11	1.08	0.9	0.99	8.02	3.08	8.11	3.32	8.25	3.22	17.48	20.05	18.15	19.43	18.93	22.06	19.27	20.36																																																																																																																																																																																																																							
E	El_Limón	5	4	1	19.06.2009	NA	NA	3.92	0	1.07	2.3	3.18	4.18	5.5	3	3	3	4.86	1.7	1.79	8	8	0.81	0.89	0.77	6.55	2.95	7.66	3.68	7.16	3.21	14.73	18.57	17.71	18.35	19.55	22.03	19.01	22.11																																																																																																																																																																																																																							
E	El_Limón	5	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
E	El_Limón	11	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
E	El_Limón	11	3	1	20.04.2009	NA	NA	4.85	0	1.04	2.17	4.89	6.29	4.96	3	3	3	4.97	1.87	1.9	10	8	0.8	0.83	0.87	7.98	3.02	7.99	2.99	7.67	2.87	16.93	20.23	17.35	18.68	19.54	22.91	19.91	21.88																																																																																																																																																																																																																							
E	El_Limón	11	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
E	El_Limón	11	4	1	19.06.2009	NA	NA	3.56	0.54	1.16	2.24	3.7	5.52	5.59	3	3	3	4.76	1.83	1.72	8	9	1.01	1.04	0.96	6.87	2.49	7.36	2.65	6.96	2.84	17.24	18.83	15.91	18.82	17.96	21.33	17.47	20																																																																																																																																																																																																																							
GS	Graciano_Sánches	1	3	2	27.10.2008	NA	NA	6.79	4.46	1.09	2.72	6.97	6.15	6.83	3	3	3	8.42	4.31	4.01	18	19	2.05	2.17	1.94	9.21	3.4	8.77	3.05	8.86	3.13	22.74	24.99	22.9	28.23	21.91	26.1	21.89	28.81																																																																																																																																																																																																																							
GS	Graciano_Sánches	1	3	1	13.10.2008	NA	NA	4.85	2.84	1.22	2.64	5.36	5.6	5.06	3	3	3	7.73	3.31	3.15	14	11	1.71	1.89	1.66	7.21	3.2	7.38	2.47	6.4	2.51	17.93	17.93	17.37	22.31	18.78	20.64	18.6	23.83																																																																																																																																																																																																																							
GS	Graciano_Sánches	2	1	1	20.10.2008	NA	NA	6.17	3.53	1.21	2.27	5.89	7.46	7.04	3	3	3	7.4	3.37	3.71	15	13	1.95	2.32	1.93	10.05	3.68	9.84	4.12	9.74	3.74	21.11	23	21.85	22	21.35	25.56	21.95	23.43																																																																																																																																																																																																																							
GS	Graciano_Sánches	2	1	2	27.10.2008	NA	NA	6.93	4.19	1.21	2.65	7.61	7.62	8.03	3	3	3	7.7	3.87	3.74	15	14	2.03	2.26	2.03	10.87	4.99	10.67	4.33	11.19	5.06	21.91	24.34	22.68	25.69	21.93	25.96	21.65	26.28																																																																																																																																																																																																																							
GS	Graciano_Sánches	2	2	1	11.09.2008	NA	NA	6.4	1.8	NA	NA	6.65	5.6	6.37	3	3	3	7.64	3.3	3.76	10	12	2.02	2.17	2.06	10.85	NA	10.74	NA	11.04	NA	21.67	23.6	21.79	27.45	23.63	26.22	23.08	28.35																																																																																																																																																																																																																							
GS	Graciano_Sánches	2	2	2	24.10.2008	NA	NA	6.3	2.53	1.07	2.2	5.37	5.2	5.89	3	3	3	7.7	3.92	4.32	12	12	1.79	2.06	1.8	10.04	4.49	10.52	4.46	9.5	4.76	18.6	20.69	19.2	22.55	19	21.93	18.73	22.99																																																																																																																																																																																																																							
GS	Graciano_Sánches	2	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
GS	Graciano_Sánches	2	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
GS	Graciano_Sánches	3	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
GS	Graciano_Sánches	3	1	1	20.10.2008	NA	NA	4.1	3.43	1.49	2.53	4.54	4.31	3.51	3	3	3	6.75	3.13	3.29	11	13	1.66	1.71	1.65	6.41	2.35	6.28	1.94	6.06	2.04	15.43	16.24	15.52	20.65	16.04	18.38	16.3	20.72																																																																																																																																																																																																																							
