population	pop	plant	seed	flower	measdate	Shootthickness	Stemthickness	GAD	ASD	Adepth	Awidth	GSDR	GSDC	GSDL	nMalesR	nMalesC	nMalesL	GWTot	GHR	GHL	GNR	GNL	SWR	SWC	SWL	SLR	Srrs	SLC	Scrs	SLL	Slrs	UBR	UBC	UBL	UBW	LBR	LBC	LBL	LBW																																																																																																																																																																																																																							
BA	Bacalar	10	2	2	16.12.2008	NA	NA	5.63	1.73	1	2.49	6.11	6.37	6.4	3	3	3	8.86	5.01	4.6	21	22	1.5	1.57	1.51	8.9	3.93	8.35	2.99	9.22	3.27	25.01	27	25.33	27.94	26.43	28.43	25.84	28.13																																																																																																																																																																																																																							
BA	Bacalar	10	2	1	08.12.2008	NA	NA	5.62	3	1.04	2.62	5.78	6.48	5.89	3	3	3	9.12	4.48	4.45	20	25	1.42	1.6	1.57	8.1	3.47	7.79	3.09	8.28	3.24	26.06	28.3	26.23	29.74	25.13	28.7	25.31	29.57																																																																																																																																																																																																																							
BA	Bacalar	10	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
BA	Bacalar	10	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
C	Comalcalco	1	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
C	Comalcalco	1	3	1	10.12.2008	NA	NA	4.14	0.53	1.22	2.72	4.84	6.13	5.23	3	3	3	6.53	2.92	3.17	13	11	1.2	1.56	1.45	7.82	3.15	9.69	4.41	9.54	4.33	21.54	23.51	21.64	21.97	23.21	25.54	21.19	22.94																																																																																																																																																																																																																							
C	Comalcalco	1	4	2	25.11.2008	NA	NA	7.54	1.01	1.04	2.24	7.47	7.54	7.42	3	3	3	7.11	3.03	3.01	10	10	1.52	1.46	1.46	11.49	4.94	10.96	3.9	11.23	4	24.55	28.85	25.58	28.24	24.99	29.38	24.28	27.14																																																																																																																																																																																																																							
C	Comalcalco	1	4	1	24.10.2008	NA	NA	5.52	2.12	1.21	2.39	6.27	7.33	6.34	3	3	3	7.14	3.14	2.98	11	11	1.48	1.54	1.6	11.11	4.99	10.01	4.23	10.89	4.6	22.73	25.91	23.41	25.97	23.76	28.59	23.53	24.21																																																																																																																																																																																																																							
C	Comalcalco	7	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
C	Comalcalco	7	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
