Pop	Patch	Blossom	Seed	ID	GHblossom	Date	ASD	GAD	MF	GSDl	GSDc	GSDr	GW	GHl	GHr	SWl	SWc	SWr	SLl	SLc	SLr	UBL	UBW	LBL	LBW
S2	4	1	e	S2.4-1.e	2	24.01.2016	2.97	7.58	10	5.59	6.44	5.02	7.19	3.24	3.43	0.99	1.03	1.00	8.89	8.46	8.25	31.67	23.52	34.65	23.80
S2	4	9	d	S2.4-9.d	1	10.01.2016	3.68	6.98	10	5.58	6.49	5.72	7.34	3.17	3.17	1.35	1.23	1.28	7.74	8.19	7.94	25.85	20.12	27.97	23.60
S2	4	9	d	S2.4-9.d	2	12.01.2016	1.57	7.55	10	5.27	6.99	5.64	7.36	3.40	2.96	1.49	1.46	1.46	7.70	8.41	8.03	25.66	21.67	25.35	22.27
S2	5	7	c	S2.5-7.c	1	11.01.2016	3.36	6.96	10	5.56	6.27	5.23	6.87	3.61	3.27	1.65	1.82	1.60	7.91	8.05	8.26	26.74	24.53	25.91	22.46
S2	5	7	c	S2.5-7.c	2	24.01.2016	3.88	6.13	10	5.01	5.82	5.22	6.04	3.73	3.59	1.31	1.30	1.48	7.03	7.24	7.60	24.98	22.06	26.45	22.58
S2	5	10	g	S2.5-10.g	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	5	10	g	S2.5-10.g	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	6	1	c	S2.6-1.c	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	6	1	c	S2.6-1.c	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	6	2	a	S2.6-2.a	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	6	2	a	S2.6-2.a	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	7	1	c	S2.7.1.c	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	7	1	c	S2.7.1.c	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	7	1	d	S2.7.1.d	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	7	1	d	S2.7.1.d	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	8	1	e	S2.8-1.e	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	8	1	e	S2.8-1.e	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	8	1	g	S2.8-1.g	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	8	1	g	S2.8-1.g	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	9	2	b	S2.9-2.b	1	30.06.2015	4.34	7.61	10	5.52	6.60	5.12	6.74	2.61	2.55	1.50	1.54	1.40	6.69	6.65	6.57	27.44	27.28	29.38	28.56
S2	9	2	b	S2.9-2.b	2	24.01.2016	4.24	6.54	10	NA	6.99	6.20	8.80	2.90	3.45	NA	1.23	NA	NA	6.74	6.08	28.43	27.72	29.28	28.38
