country,pop,sire,dam,flowering.start.jd,petal.width.mm,petal.length.mm,fruits,flowers,rosette.size.cm2,inflorescences,leaf.damage.percent
norway,SPIT,SPIT11,SPIT112,140,2.8,2.8,4,9,7.327199378,2,0
norway,VIS,VIS61,VIS612,137,3.9666666667,4.0666666667,17,43,21.03610441,3,0
sweden,STUS,STUS18,STUS185,140,3.6333333333,3.6333333333,16,45,14.34978993,5,0
sweden,STUS,STUS40,STUS403,144,2.7333333333,2.7,18,40,16.62764096,4,0
sweden,STUS,STUS23,STUS235,140,2.6333333333,3.4,14,49,4.542554482,3,0
sweden,STUC,STUC33,STUC331,144,3,2.1,8,15,11.4189039,2,0
sweden,STUS,STUS40,STUS405,140,4.0333333333,4.1,1,26,22.38659655,3,0
norway,SPIT,SPIT13,SPIT134,140,3.2666666667,3.4,14,34,11.67786538,2,0
sweden,STUC,STUC2,STUC22,137,3.6,3.4666666667,30,87,4.881281001,7,10
norway,SPIT,SPIT46,SPIT462,137,3.3666666667,3.3,13,29,8.259144985,3,0
norway,SPIT,SPIT6,SPIT63,137,2.8,3.2666666667,37,80,13.88434727,7,0
norway,VIS,VIS6,VIS61,140,2.5,1.9,6,20,4.8134226,2,0
norway,VIS,VIS50,VIS505,140,4.1333333333,3.5666666667,30,71,42.24906478,7,0
sweden,STUS,STUS48,STUS483,140,3.2,3.4666666667,29,73,3.801327111,5,0
sweden,STUS,STUS8,STUS81,140,2.7,2.6,25,53,19.28422668,5,10
sweden,STUC,STUC49,STUC492,144,2.6666666667,2.9,9,23,5.900664986,2,0
sweden,STUS,STUS26,STUS264,155,2.8,2.4,5,25,3.725614728,2,0
sweden,STUC,STUC40,STUC405,140,3.6333333333,3.2666666667,15,38,4.828266625,5,20
norway,SPIT,SPIT7,SPIT74,140,3.3333333333,2.9666666667,20,43,29.78129305,5,0
sweden,STUC,STUC26,STUC265,140,2.6,2.8666666667,16,56,5.782729597,10,0
norway,SPIT,SPIT47,SPIT473,140,2.3333333333,3.2666666667,10,28,6.055514088,2,0
sweden,STUC,STUC36,STUC361,146,4,3.6333333333,0,8,3.261232356,2,0
norway,VIS,VIS20,VIS202,140,2.8,3.3333333333,22,50,19.99136777,5,0
sweden,STUS,STUS35,STUS353,140,3.1666666667,3.5666666667,15,48,18.21658783,5,0
norway,SPIT,SPIT21,SPIT211,137,3.4,3.7,21,42,39.30294987,7,20
sweden,STUS,STUS20,STUS202,140,3.6333333333,3.2,25,59,3.478528466,3,0
norway,SPIT,SPIT1,SPIT11,148,2.5,2.2,9,30,18.78094354,4,0
norway,SPIT,SPIT57,SPIT575,140,3.7333333333,3.2,26,69,33.30151045,11,0
norway,VIS,VIS64,VIS643,140,3.0333333333,3.4666666667,17,42,18.28432057,4,0
norway,SPIT,SPIT9,SPIT93,140,2.25,2.0333333333,13,30,4.970219489,4,10
sweden,STUS,STUS40,STUS403,137,3.3666666667,2.8333333333,6,19,4.770445613,5,0
sweden,STUS,STUS69,STUS694,140,2.2,2.8,1,11,4.482801389,3,0
sweden,STUS,STUS51,STUS511,140,3.3,1.9333333333,5,18,2.908109488,2,20
norway,VIS,VIS15,VIS152,140,2.6,2.6,3,9,3.574001466,1,0
sweden,STUC,STUC60,STUC602,140,2.9,2.8,7,16,7.743397573,3,0
norway,SPIT,SPIT33,SPIT333,146,2.65,1.8,4,7,2.908329399,1,0
