ind,block,dam,sire,germination,male fl,measdate,bloss,GAD,ASD,GSDl,GSDc,GSDr,mfl,mfc,mfr,GWl,GWr,Gwtot,GHl,GHr,GNl,GNr,SWl,SWc,SWr,SLl,SLc,SLr,UBL,UBC,UBR,UBW,LBL,LBC,LBR,LBW,
70408,4,40103,40153,4/21/2005,1,8/30/2005,1,2.58,0.85,5.20,6.03,5.51,3,3,3,3.17,3.16,6.07,2.32,2.21,8,7,1.07,1.13,0.97,,,,17.10,19.67,16.11,18.98,20.39,23.57,20.12,20.77,
70409,4,40114,40153,4/21/2005,1,8/9/2005,1,3.00,0.42,5.10,5.62,5.56,3,3,3,3.12,3.13,5.94,2.46,2.79,10,12,1.08,1.15,1.09,,,,14.84,16.69,14.46,16.49,15.74,18.98,16.03,16.64,
70409,4,40114,40153,4/21/2005,2,6/16/2006,2,3.14,2.59,7.36,7.72,6.27,3,3,3,3.66,3.85,6.67,2.66,2.41,10,10,1.26,1.20,1.27,8.44,8.83,9.09,17.07,20.60,17.36,19.56,17.36,20.47,18.36,19.53,
70410,4,40153,40103,4/21/2005,1,11/16/2005,1,3.71,0.72,5.29,6.05,5.86,3,3,3,3.56,4.15,7.17,2.89,3.05,9,9,1.12,1.14,0.93,,,,19.37,21.95,19.21,23.29,22.50,26.43,22.55,22.44,1 extra stam flower in the gland L
70410,4,40153,40103,4/21/2005,1,6/13/2006,2,4.00,0.00,5.78,5.59,5.68,3,3,3,3.45,3.66,6.66,2.71,2.70,10,8,0.99,1.13,1.02,8.86,9.20,9.16,19.00,23.20,19.87,22.56,21.29,24.60,22.35,21.27,
70411,4,40153,40103,4/21/2005,1,6/4/2006,1,3.32,0.00,5.71,5.81,5.67,3,3,3,3.68,3.68,7.13,2.66,2.85,9,8,1.05,1.11,1.04,9.50,8.82,9.51,18.69,21.87,18.72,22.10,20.58,23.97,20.11,22.55,
70411,4,40153,40103,4/21/2005,1,6/8/2006,2,3.05,0.32,5.65,5.88,5.09,3,3,3,3.13,3.02,5.92,2.30,2.26,8,9,0.98,1.02,1.00,8.47,8.62,8.78,18.07,20.35,17.23,17.90,19.67,22.45,19.39,19.21,
70413,5,40044,40044,4/21/2005,1,8/29/2005,1,3.68,0.00,5.51,5.38,5.85,3,3,3,3.03,3.68,6.28,2.60,2.71,10,12,1.14,1.20,1.21,,,,12.30,15.69,13.32,17.34,15.11,17.86,15.83,17.73,
70413,5,40044,40044,4/21/2005,1,6/9/2006,2,2.77,0.45,4.11,5.47,5.29,3,3,3,3.19,2.80,,2.53,2.49,9,8,1.30,1.30,1.17,8.54,8.30,8.81,12.81,15.55,13.68,17.15,14.22,16.28,15.04,16.86,
70414,5,40044,40065,4/21/2005,1,8/17/2005,1,3.28,0.63,5.69,6.80,5.98,3,3,3,3.40,3.71,6.79,2.43,3.02,4,10,1.27,1.30,1.31,,,,17.57,19.64,17.27,21.77,17.42,20.73,18.44,21.51,
70414,5,40044,40065,4/21/2005,1,12/23/2005,2,2.95,0.00,5.49,5.48,6.18,3,3,3,3.09,3.09,5.94,2.74,2.61,10,10,1.04,1.04,1.06,9.14,8.83,9.28,15.14,17.45,14.32,17.78,16.66,18.61,15.84,18.01,
70415,5,40044,40065,4/21/2005,1,8/17/2005,1,3.79,1.12,6.66,7.27,5.75,3,3,3,3.23,3.31,6.21,3.17,3.36,11,10,1.31,1.26,1.35,,,,16.50,19.67,17.32,20.49,17.97,20.87,17.79,20.80,
70415,5,40044,40065,4/21/2005,1,6/8/2006,2,3.25,0.67,4.39,2.10,5.56,3,3,3,4.48,3.52,7.21,2.62,2.93,9,10,1.34,1.43,1.27,8.97,9.62,9.24,17.50,20.53,17.29,21.59,18.81,22.90,18.19,21.37,
70416,5,40044,40090,4/21/2005,1,8/30/2005,1,2.96,0.00,4.94,5.51,4.29,3,3,3,3.30,3.17,6.19,2.81,3.06,11,11,1.16,1.17,1.12,,,,15.11,18.22,14.39,16.99,17.75,21.03,17.19,17.20,
70416,5,40044,40090,4/21/2005,1,6/14/2006,2,3.12,0.00,5.19,4.27,3.14,3,3,3,4.44,4.01,6.98,3.05,3.00,10,9,1.41,1.41,1.31,9.38,9.20,9.27,17.03,19.42,16.03,20.91,20.30,24.33,20.00,20.99,
70417,5,40044,40090,4/21/2005,1,8/3/2005,1,3.67,0.00,4.90,5.75,5.53,3,3,3,2.96,2.94,5.63,2.45,2.67,11,11,1.13,1.20,1.03,,,,16.35,17.63,15.07,18.91,17.00,19.28,16.77,17.54,
70417,5,40044,40090,4/21/2005,2,5/23/2006,2,2.85,0.00,5.30,5.40,5.68,3,3,3,2.94,3.09,5.72,2.75,3.00,11,11,1.34,1.35,1.25,8.90,9.24,9.00,17.96,20.04,18.04,20.74,19.37,21.50,19.59,21.31,
70418,5,40090,40065,4/21/2005,1,8/9/2005,1,3.12,0.00,4.63,5.26,5.78,3,3,3,3.37,3.63,6.62,3.24,2.65,10,9,1.07,1.21,1.18,,,,17.40,19.55,17.20,21.16,18.96,23.99,20.24,21.75,
70418,5,40090,40065,4/21/2005,1,8/17/2005,2,3.53,1.76,6.46,7.77,7.25,3,3,3,3.72,3.57,6.75,3.07,2.98,9,11,1.07,1.13,1.07,,,,17.30,20.81,18.18,21.86,22.16,24.39,21.42,22.88,
70419,5,40090,40065,4/21/2005,1,8/17/2005,1,3.08,1.70,5.11,7.18,5.70,3,3,3,4.16,4.05,7.86,3.10,3.18,11,10,1.34,1.24,1.39,,,,17.73,22.16,19.72,23.27,21.88,26.98,22.39,24.07,
70419,5,40090,40065,4/21/2005,1,6/12/2006,2,3.34,0.00,6.41,6.12,5.27,3,3,3,3.90,3.49,6.85,2.76,2.94,9,9,1.19,1.41,1.19,9.97,9.98,9.69,18.30,21.34,17.90,22.51,19.84,23.22,20.25,21.08,
70420,5,40090,40090,4/21/2005,1,8/30/2005,1,2.54,2.87,5.36,8.01,6.54,3,3,3,2.96,3.53,6.27,2.40,2.45,8,9,1.08,1.14,1.05,,,,18.31,20.23,17.20,19.43,20.01,22.95,20.75,19.61,
70420,5,40090,40090,4/21/2005,2,6/23/2006,2,2.40,1.26,6.72,5.74,5.58,3,3,3,3.07,3.22,5.91,2.21,2.18,7,7,0.96,1.04,1.05,9.32,8.97,9.34,19.83,21.68,18.86,20.19,20.72,23.15,21.37,22.58,
70421,5,40090,40090,4/21/2005,1,6/16/2006,1,2.67,1.23,4.61,5.98,5.14,3,3,3,3.34,2.99,5.75,2.57,2.43,9,7,1.09,1.02,0.97,8.20,8.31,8.30,17.96,20.61,17.16,19.74,21.50,24.02,20.02,18.86,
70421,5,40090,40090,4/21/2005,1,6/19/2006,2,2.28,0.62,5.68,5.51,4.68,3,3,3,3.70,3.72,6.85,2.68,2.76,8,10,1.09,1.09,1.08,8.63,8.60,8.50,19.00,21.52,19.22,20.49,20.17,23.22,21.59,21.25,
70422,5,40148,40090,4/21/2005,1,1/3/2006,1,3.78,0.00,6.23,5.21,4.95,3,3,3,4.09,3.61,7.01,2.86,3.00,9,11,1.18,1.26,1.18,9.14,9.03,10.20,14.93,17.64,15.85,17.46,17.24,19.97,18.07,17.61,
70422,5,40148,40090,4/21/2005,1,1/3/2006,2,3.02,0.00,5.24,4.80,3.96,3,3,3,3.99,4.15,6.96,2.83,2.71,11,11,1.08,1.09,1.16,8.28,8.16,8.19,16.77,19.33,16.24,18.15,18.64,22.17,18.36,19.59,
70423,5,40148,40090,4/21/2005,1,8/30/2005,1,2.45,0.00,4.96,4.69,5.20,3,3,3,3.13,3.31,6.05,2.59,2.59,9,11,1.05,1.09,1.10,,,,16.27,18.13,15.27,18.08,16.83,21.06,17.79,19.38,
70423,5,40148,40090,4/21/2005,2,5/31/2006,2,2.92,0.00,3.52,4.80,3.96,3,3,3,3.77,3.49,6.83,2.63,2.66,9,10,1.26,1.37,1.33,7.54,7.69,7.42,16.83,18.97,16.44,18.51,18.71,21.03,18.00,19.67,
70424,5,40148,40090,4/21/2005,1,12/19/2005,1,4.21,0.00,6.44,5.26,5.25,3,3,3,4.16,3.81,7.29,3.03,2.92,9,8,1.16,1.27,1.23,8.86,8.75,9.29,16.29,19.25,16.69,18.14,18.94,21.78,18.86,18.25,
70424,5,40148,40090,4/21/2005,1,12/22/2005,2,2.86,0.00,5.66,5.19,4.64,3,3,3,3.66,3.74,6.11,2.46,2.54,11,9,1.05,1.11,1.13,8.40,7.98,7.92,15.14,17.00,15.24,17.21,17.85,20.81,18.18,16.91,
70425,6,40018,40002,4/21/2005,1,12/22/2005,1,2.66,0.56,5.98,5.80,6.78,3,3,3,3.30,3.51,6.35,2.51,2.50,10,12,1.08,1.20,1.14,6.97,7.24,7.48,15.17,16.94,14.28,16.10,15.34,17.36,15.52,16.54,
70425,6,40018,40002,4/21/2005,1,6/12/2006,2,3.21,0.00,5.90,4.51,4.88,3,3,3,4.07,5.14,7.58,2.71,3.13,10,15,1.27,1.41,1.32,8.98,8.46,8.50,15.65,19.03,16.75,20.38,16.35,18.68,17.54,18.50,
70426,6,40018,40096,4/21/2005,1,6/15/2006,1,2.48,0.45,6.55,4.56,4.12,3,3,3,3.23,3.19,6.26,2.61,2.71,11,10,1.22,1.31,1.18,7.56,7.63,7.63,16.47,18.80,17.97,20.06,18.84,21.01,18.45,20.75,
70426,6,40018,40096,4/21/2005,1,6/15/2006,2,2.65,0.83,4.90,5.57,5.50,3,3,3,3.53,3.14,5.94,2.51,2.54,10,10,1.16,1.14,1.15,7.39,7.31,7.47,16.16,18.38,15.43,19.19,18.87,20.43,17.53,20.06,
70427,6,40018,40018,4/21/2005,1,12/20/2005,1,2.91,0.28,5.10,4.32,5.12,2,3,3,3.74,3.60,6.56,3.02,2.82,11,10,0.83,1.14,1.03,8.38,8.23,8.09,15.91,18.18,15.64,17.79,16.83,19.00,16.38,18.59,
70427,6,40018,40018,4/21/2005,2,1/6/2006,1,2.85,0.31,4.58,5.42,6.03,3,3,3,3.16,3.71,6.07,3.07,2.75,12,11,0.94,1.01,0.91,7.93,7.69,8.27,17.19,18.03,16.03,18.41,17.13,18.48,16.07,17.64,
70428,6,40108,40018,4/21/2005,1,12/23/2005,1,2.63,0.00,5.60,5.31,5.04,3,3,3,3.17,3.31,5.96,2.57,2.78,11,10,1.17,1.13,1.09,8.02,7.18,7.18,16.75,18.56,15.73,19.09,17.16,20.30,18.36,19.83,
70428,6,40108,40018,4/21/2005,1,12/23/2005,2,2.07,0.00,4.04,4.83,4.52,3,3,3,3.90,3.65,6.40,2.62,2.66,17,12,1.10,1.08,1.12,7.28,7.16,7.75,13.96,15.05,13.60,16.66,14.39,16.65,15.17,16.44,
70429,7,40019,40019,4/21/2005,1,5/30/2006,1,3.20,0.00,2.30,5.57,2.94,3,3,3,2.75,3.73,5.91,1.83,2.53,10,15,1.18,1.01,1.13,6.25,6.82,6.26,12.60,13.78,12.89,15.35,13.66,15.61,13.57,15.86,
70429,7,40019,40019,4/21/2005,1,6/14/2006,2,3.70,0.00,6.13,5.22,3.53,3,3,3,3.70,3.79,6.74,2.96,3.15,9,10,1.46,1.37,1.27,7.85,8.15,8.09,15.67,18.28,16.20,19.40,17.27,20.24,18.07,20.40,3 braclets in common between gland l and r
70430,7,40089,40089,4/21/2005,1,8/9/2005,1,2.93,1.11,5.67,5.88,5.35,3,3,3,3.50,2.97,5.93,2.44,2.28,12,9,1.15,1.15,1.13,,,,15.53,18.11,13.80,18.08,18.17,20.20,17.83,18.88,
70430,7,40089,40089,4/21/2005,1,6/4/2006,2,2.95,0.00,5.12,4.90,4.88,3,3,3,3.60,4.13,6.75,2.77,2.84,11,11,1.27,1.24,1.28,8.24,7.80,7.54,17.48,20.78,16.65,19.21,18.94,22.21,18.52,21.04,
70431,7,40089,40124,4/21/2005,1,8/17/2005,1,2.80,0.69,5.58,5.85,5.78,3,3,3,3.54,3.94,6.68,2.61,2.67,10,11,1.20,1.25,1.26,,,,15.63,18.40,15.87,19.21,18.20,20.27,18.05,22.26,
70431,7,40089,40124,4/21/2005,1,8/30/2005,2,3.14,0.52,5.22,5.57,5.81,3,3,3,4.18,3.88,7.19,3.02,3.13,11,12,1.32,1.39,1.33,,,,16.65,19.24,17.06,20.21,18.30,20.86,19.14,21.86,
70432,8,40022,40136,4/21/2005,1,6/8/2006,1,2.80,1.48,6.13,6.81,6.34,3,3,3,3.56,3.56,6.82,2.82,2.84,9,8,1.03,1.03,0.99,9.81,10.48,9.99,18.95,21.92,18.49,21.86,20.62,24.16,19.48,20.93,
70432,8,40022,40136,4/21/2005,1,6/8/2006,2,2.74,0.81,6.74,5.66,6.06,3,3,3,4.15,3.52,7.07,2.62,2.72,8,8,1.07,1.09,1.05,9.45,9.23,9.40,17.55,21.07,18.12,20.69,19.78,24.63,20.69,20.04,
70433,8,40022,40136,4/21/2005,1,6/12/2006,1,3.21,0.00,5.76,5.30,5.01,3,3,3,4.01,3.35,6.80,2.53,2.93,8,9,0.97,0.92,0.88,9.14,8.86,8.82,15.93,19.61,16.16,18.84,18.15,20.72,17.99,18.53,
70433,8,40022,40136,4/21/2005,1,6/13/2006,2,3.87,0.37,5.80,4.04,5.39,3,3,3,3.10,3.17,6.03,2.44,2.84,11,11,0.95,1.04,0.88,9.20,9.09,9.14,17.52,20.22,18.20,18.52,19.62,21.55,17.92,18.48,
70434,8,40028,40022,4/21/2005,1,12/13/2005,1,4.37,0.00,5.30,7.26,5.90,3,3,2,2.78,2.85,5.54,2.18,2.31,8,8,0.97,1.07,1.03,9.16,9.50,8.89,18.16,20.90,17.79,20.68,20.50,23.51,19.57,20.34,
70434,8,40028,40022,4/21/2005,1,12/20/2005,2,4.19,1.76,6.86,8.05,7.53,3,3,3,2.91,2.59,5.40,2.01,2.13,7,7,0.98,1.13,1.01,9.00,9.37,9.13,18.42,21.07,17.88,20.46,19.02,24.78,20.93,20.33,
70435,8,40063,40022,4/21/2005,1,12/14/2005,1,4.27,2.38,7.46,8.73,7.71,3,3,3,3.14,3.64,6.58,2.67,2.65,8,9,1.23,1.24,1.15,10.35,10.93,10.46,19.67,21.75,19.69,23.04,20.69,24.45,21.30,22.19,
70435,8,40063,40022,4/21/2005,1,1/5/2006,2,3.25,1.41,5.94,6.76,6.16,3,3,3,3.08,3.10,5.84,2.73,2.13,11,7,1.20,1.15,1.13,8.96,8.73,9.39,17.44,20.43,17.85,19.71,19.18,23.10,20.05,19.75,
70436,8,40136,40022,4/21/2005,1,11/16/2005,1,3.40,0.00,5.37,4.27,3.54,3,3,3,3.48,3.04,6.39,2.69,2.62,9,9,0.85,0.88,0.83,,,,16.87,20.81,17.35,19.08,19.90,24.28,20.37,19.98,
70436,8,40136,40022,4/21/2005,1,8/9/2005,1,3.00,0.41,4.20,5.43,4.69,3,3,3,3.42,3.32,6.15,2.28,2.29,9,9,0.89,0.95,0.95,,,,17.39,18.48,17.24,19.84,18.48,20.91,18.52,20.90,
70437,8,40136,40022,4/21/2005,1,8/29/2005,1,3.86,2.01,6.36,4.83,5.36,3,2,3,2.90,2.88,5.65,2.42,2.46,9,11,0.89,0.80,0.80,,,,16.32,20.19,16.92,19.45,19.36,23.16,19.03,20.72,
70437,8,40136,40022,4/21/2005,1,8/30/2005,2,3.42,0.00,5.22,5.51,6.75,3,3,3,3.59,4.07,7.37,2.96,2.80,11,9,1.09,1.03,1.04,,,,20.11,23.81,19.56,23.93,22.15,26.99,21.87,24.07,
70438,8,40136,40022,4/21/2005,1,8/4/2005,1,3.17,0.45,4.83,5.61,5.48,3,3,3,2.86,2.68,5.48,2.63,2.19,8,8,1.17,1.12,1.10,,,,15.69,18.16,15.27,16.13,18.58,22.27,19.82,18.51,
70438,8,40136,40022,4/21/2005,1,12/19/2005,2,3.55,0.82,5.54,6.27,5.69,3,3,3,2.77,2.66,5.05,2.15,2.19,7,7,0.85,0.93,0.97,8.19,7.97,8.54,16.78,19.15,16.88,16.18,18.28,20.74,18.14,16.88,
70439,8,40136,40028,4/21/2005,1,8/17/2005,1,2.85,0.00,5.18,3.33,4.93,3,1,3,2.88,2.97,5.45,2.07,2.88,9,8,1.03,0.98,1.01,,,,17.85,19.96,18.27,19.43,18.63,22.93,19.18,18.37,
70439,8,40136,40028,4/21/2005,1,6/10/2006,2,2.99,2.27,6.19,7.37,5.76,3,3,3,3.90,3.80,6.91,2.95,2.90,11,11,1.10,1.18,1.17,9.11,8.78,8.77,19.28,22.57,20.25,23.04,21.98,27.69,22.89,22.96,
70440,8,40136,40150,4/21/2005,1,8/29/2005,1,3.21,0.24,6.16,5.95,5.08,3,3,3,3.67,3.52,6.47,2.63,2.36,10,10,1.05,1.01,1.06,,,,16.12,18.61,16.15,18.56,19.51,22.05,18.89,20.49,
70440,8,40136,40150,4/21/2005,1,8/30/2005,2,3.54,0.53,6.86,6.60,6.40,3,3,3,3.53,3.61,6.83,2.77,2.62,8,9,1.08,1.03,1.03,,,,17.70,20.01,17.75,20.41,19.01,22.38,19.48,22.09,
70441,8,40150,40063,4/21/2005,1,8/29/2005,1,3.75,0.49,6.18,6.72,6.78,3,3,3,3.94,3.12,6.69,2.58,2.62,10,7,1.19,1.23,1.25,,,,17.14,20.58,18.32,22.19,19.25,22.76,20.24,22.81,
70441,8,40150,40063,4/21/2005,1,5/30/2006,2,3.14,0.00,2.90,4.31,5.22,3,3,3,3.57,3.57,6.99,2.57,2.43,10,9,1.26,1.42,1.39,8.37,8.85,8.73,16.41,19.64,18.37,20.39,19.13,24.72,20.43,22.12,
70442,8,40150,40063,4/21/2005,1,1/9/2006,1,3.36,0.44,6.38,5.78,5.51,3,3,3,3.63,3.21,6.52,2.62,2.82,9,10,1.03,1.10,1.09,8.54,8.68,9.00,17.57,20.12,18.32,20.70,19.37,22.28,19.63,20.31,
70442,8,40150,40063,4/21/2005,1,5/23/2006,2,3.09,0.00,,5.54,,3,3,3,3.96,4.34,7.83,3.14,3.17,9,11,,1.47,,,9.79,,18.62,21.03,19.40,21.78,21.48,23.95,20.55,22.31,
70443,9,40025,40025,4/21/2005,1,6/8/2006,1,3.59,0.84,5.56,6.73,5.41,3,3,3,3.05,2.49,5.38,1.44,1.58,4,5,1.23,1.21,1.16,7.62,7.46,7.61,14.87,17.30,15.83,19.83,18.25,21.61,19.38,21.92,
70443,9,40025,40025,4/21/2005,1,6/9/2006,2,4.14,0.00,6.58,6.24,3.47,3,3,2,3.15,3.77,6.01,2.64,2.52,9,11,1.21,1.22,1.29,8.60,8.23,8.68,14.08,17.82,15.58,19.04,15.13,18.05,16.35,18.19,
70444,9,40025,40128,4/21/2005,1,8/4/2005,1,2.98,0.00,6.28,5.60,4.82,3,3,3,3.48,3.75,6.65,2.66,2.61,10,10,1.24,1.28,1.29,,,,15.05,17.36,15.01,17.05,16.93,19.02,16.28,18.20,
70444,9,40025,40128,4/21/2005,1,12/8/2005,2,3.86,0.99,6.76,5.79,6.40,3,3,3,3.78,3.84,6.71,2.75,2.72,11,10,1.15,1.08,1.07,,,,17.24,20.36,16.35,21.40,17.73,21.01,17.60,19.03,
70445,9,40060,40060,4/21/2005,1,8/17/2005,1,3.17,2.89,6.07,8.19,6.63,3,3,3,4.71,4.57,7.86,2.76,2.80,11,9,1.29,1.29,1.16,,,,19.51,21.45,17.67,24.82,22.73,26.40,22.48,26.31,
70445,9,40060,40060,4/21/2005,1,6/8/2006,2,3.07,1.43,6.26,7.07,5.03,3,3,3,3.19,2.99,5.62,2.42,2.32,9,9,1.25,1.23,1.23,8.52,8.43,8.18,17.26,18.68,16.86,19.98,17.79,20.81,18.12,18.12,
70446,9,40060,40128,4/21/2005,1,8/29/2005,1,3.57,0.61,7.15,6.46,6.21,3,3,3,3.71,3.79,6.89,2.82,2.74,9,10,1.26,1.32,1.20,,,,16.42,17.32,15.35,19.57,18.82,20.32,18.33,20.18,
70446,9,40060,40128,4/21/2005,1,8/30/2005,2,2.92,0.52,5.14,5.78,5.10,6,3,3,4.63,3.83,6.97,2.34,3.30,14,10,1.39,1.34,1.33,,,,17.62,19.85,18.20,20.10,20.45,22.91,19.65,21.48,
70447,9,40109,40025,4/21/2005,1,1/9/2006,1,3.12,0.00,5.37,5.46,5.08,3,3,3,3.27,3.63,6.21,2.58,2.38,10,8,1.09,1.00,1.04,8.61,8.36,8.68,15.78,16.81,14.77,17.28,17.37,19.86,17.31,18.08,
70447,9,40109,40025,4/21/2005,1,5/31/2006,2,3.01,0.00,5.42,5.07,4.45,3,3,3,3.48,3.50,6.48,2.64,2.63,11,10,1.15,1.27,1.09,8.74,8.86,8.71,16.22,17.41,15.60,19.18,17.10,19.14,17.04,18.86,
70448,9,40109,40025,4/21/2005,1,6/8/2006,1,2.85,0.00,5.48,5.86,5.15,3,3,3,2.89,2.67,5.36,2.49,2.47,12,6,1.10,1.31,1.10,8.86,8.79,8.93,15.87,17.50,15.29,18.22,17.27,19.39,16.92,18.17,
70448,9,40109,40025,4/21/2005,1,6/14/2006,2,2.74,0.75,5.95,5.28,5.46,3,3,3,2.83,3.39,5.89,2.31,2.33,9,9,1.21,1.18,1.19,9.27,9.48,9.23,16.99,19.08,16.90,19.97,18.77,20.44,16.67,19.72,
70449,9,40109,40143,4/21/2005,1,5/30/2006,1,2.74,0.00,3.33,4.33,3.78,3,3,3,2.94,2.96,5.56,2.18,2.22,9,9,1.07,1.06,1.05,6.52,6.71,6.82,15.04,17.30,14.84,17.34,16.47,18.37,16.27,16.66,
70449,9,40109,40143,4/21/2005,1,6/12/2006,2,2.99,0.00,4.50,5.14,4.00,3,3,3,3.66,3.46,6.66,2.47,2.70,9,9,1.20,1.29,1.04,8.63,8.39,9.08,16.41,19.09,16.57,20.37,18.20,21.54,17.21,19.15,
70450,9,40109,40143,4/21/2005,1,8/23/2005,1,2.49,0.00,6.00,5.19,5.33,3,3,3,3.02,3.24,6.04,2.33,2.31,8,9,0.97,1.07,1.02,,,,16.29,18.41,16.26,19.04,18.25,20.29,18.08,19.28,
70450,9,40109,40143,4/21/2005,1,8/25/2005,2,3.55,0.00,5.16,5.60,5.42,3,3,3,3.23,3.29,6.66,2.24,2.50,8,9,0.97,0.99,1.02,,,,18.32,20.72,18.72,20.31,19.22,22.30,20.61,22.47,
70451,9,40128,40109,4/21/2005,1,8/4/2005,1,2.95,0.00,5.77,5.25,6.43,3,3,3,3.96,4.25,7.74,2.97,3.07,10,10,1.25,1.15,1.19,,,,16.53,19.78,17.44,18.48,18.26,21.98,19.37,20.40,
70451,9,40128,40109,4/21/2005,1,6/10/2006,2,3.25,0.00,5.35,5.02,5.71,3,3,3,3.78,4.01,7.16,3.00,2.85,10,10,1.16,1.25,1.20,8.81,8.55,8.97,16.11,18.92,17.29,20.29,18.16,21.01,18.14,18.59,
70452,9,40128,40109,4/21/2005,1,8/3/2005,1,3.54,0.00,5.05,5.60,4.18,3,3,3,3.36,3.36,6.37,2.50,2.33,9,9,1.36,1.23,1.26,,,,15.88,18.03,15.44,17.72,16.80,18.81,16.29,15.99,
70452,9,40128,40109,4/21/2005,1,8/23/2005,2,2.74,0.00,5.32,5.51,5.15,3,3,3,3.16,3.60,6.53,2.80,2.62,11,10,1.17,1.24,1.16,,,,17.10,18.33,17.58,19.92,18.39,21.12,18.66,19.50,
70453,9,40143,40109,4/21/2005,1,8/17/2005,1,3.22,0.00,5.14,5.71,5.81,3,3,3,3.24,3.53,6.38,2.50,2.38,9,9,0.97,0.95,0.97,,,,15.97,17.92,14.93,18.00,16.88,19.85,17.65,17.72,
70453,9,40143,40109,4/21/2005,1,12/20/2005,2,4.21,2.87,6.10,8.72,5.85,3,3,3,2.85,2.84,5.51,2.76,2.87,7,8,0.99,1.02,1.05,9.72,9.12,9.75,19.63,19.58,17.17,20.68,20.49,23.17,20.61,20.01,
70454,9,40143,40109,4/21/2005,1,8/23/2005,1,3.10,0.90,5.00,6.86,5.76,3,3,3,3.79,3.54,6.82,2.43,2.37,10,9,1.15,1.18,1.16,,,,17.54,19.47,17.26,19.07,19.61,21.11,18.77,19.71,
70454,9,40143,40109,4/21/2005,1,8/25/2005,2,3.06,1.09,5.01,6.57,6.06,3,3,3,3.64,3.70,6.51,2.27,2.35,8,8,1.18,1.14,1.04,,,,16.68,19.86,17.47,19.10,19.60,22.19,19.49,20.86,
70455,9,40143,40109,4/21/2005,1,8/9/2005,1,3.24,0.00,5.66,5.00,5.45,3,3,3,3.23,3.32,6.20,2.69,2.60,9,9,1.18,1.25,1.18,,,,19.72,21.35,18.54,20.54,19.86,22.07,19.79,19.63,
70455,9,40143,40109,4/21/2005,1,9/2/2005,2,3.42,0.00,5.82,5.87,4.60,3,3,3,3.46,3.46,6.76,2.67,2.69,9,8,1.23,1.26,1.25,,,,20.07,23.48,19.35,22.92,21.45,26.57,22.53,22.39,
70456,9,40143,40128,4/21/2005,1,8/9/2005,1,2.87,1.30,4.53,6.50,4.71,3,3,3,3.59,3.80,6.61,2.40,2.41,10,12,0.99,0.99,0.92,,,,17.48,20.47,16.76,19.82,18.85,23.86,18.48,22.51,
70456,9,40143,40128,4/21/2005,1,8/24/2005,2,3.46,0.00,5.59,5.60,3.34,3,3,3,3.46,3.66,6.75,2.95,2.95,9,9,0.98,1.05,1.06,,,,15.92,17.40,15.97,19.22,18.02,19.75,17.55,18.93,
70458,9,40143,40118,4/21/2005,1,8/4/2005,1,2.69,0.00,4.73,4.71,5.49,3,3,3,3.50,3.68,6.68,3.21,3.03,10,10,1.17,1.30,1.05,,,,18.37,21.26,19.11,19.24,20.26,23.59,20.81,20.04,
70458,9,40143,40118,4/21/2005,1,8/18/2005,2,3.05,0.00,3.67,5.12,4.92,3,1,3,3.28,3.25,6.57,2.65,2.80,9,11,0.93,0.94,1.00,,,,18.12,20.24,18.42,20.50,19.43,22.13,19.50,19.52,
70459,2,40072,40072,4/22/2005,1,8/17/2005,1,3.23,0.00,4.05,5.24,5.27,3,3,3,3.45,4.01,6.56,2.75,2.62,9,8,1.18,1.20,1.19,,,,14.59,16.75,13.63,17.88,16.47,19.11,16.63,19.23,
70459,2,40072,40072,4/22/2005,1,11/16/2005,2,3.43,0.40,3.70,4.66,5.41,3,3,3,3.62,3.15,5.77,2.32,2.50,10,10,1.00,0.99,1.04,,,,12.12,13.84,12.02,15.34,13.80,16.13,13.65,16.50,
70460,3,40146,40023,4/22/2005,1,8/3/2005,1,2.92,0.00,5.21,5.32,5.46,3,3,3,3.48,3.12,6.41,2.74,2.49,11,9,1.33,1.34,1.27,,,,19.27,21.86,19.32,21.42,19.19,23.25,20.08,21.30,
70460,3,40146,40023,4/22/2005,1,8/25/2005,2,2.91,0.60,4.70,6.23,4.42,3,2,3,4.05,3.73,7.30,2.60,2.69,10,10,1.33,1.28,1.34,,,,18.29,20.24,18.07,21.06,20.68,23.83,20.71,21.40,
70461,5,40044,40044,4/22/2005,1,8/29/2005,1,3.43,0.88,5.64,6.38,6.04,3,3,3,2.71,3.51,6.07,3.04,3.06,9,13,1.26,1.31,1.28,,,,13.03,16.15,13.39,17.87,15.39,18.95,15.03,18.46,
70461,5,40044,40044,4/22/2005,1,6/5/2006,2,3.51,0.00,3.42,4.84,3.26,3,1,3,4.09,2.87,6.31,3.05,3.02,13,13,1.29,1.19,1.23,7.58,7.95,6.86,14.49,16.84,14.55,17.30,16.10,19.66,16.32,18.78,
70463,6,40108,40018,4/22/2005,1,8/4/2005,1,3.14,0.29,4.73,5.48,4.72,3,3,3,3.57,3.68,6.52,3.07,2.84,14,12,1.18,1.25,1.19,,,,14.83,17.43,15.79,17.61,18.04,20.68,17.53,19.95,
70463,6,40108,40018,4/22/2005,1,8/9/2005,2,3.47,0.29,5.06,5.83,4.74,3,3,3,3.45,3.54,6.15,2.94,2.86,11,13,1.06,1.09,1.13,,,,16.08,17.30,14.88,17.88,17.26,19.57,16.24,18.93,
