Code,Origin,Collected,Potted,Mother,
40136,Merida,Liv,1999,15.03.99,MER038
40137,Merida,Liv,1999,15.03.99,MER020
40138,Merida,Liv,1999,15.03.99,MER059
40139,Merida,Liv,1999,15.03.99,MER116
40140,Merida,Liv,1999,15.03.99,MER121
40141,Merida,Liv,1999,15.03.99,MER087
40142,Merida,Liv,1999,15.03.99,MER090
40143,Merida,Liv,1999,15.03.99,MER085
40144,Merida,Liv,1999,15.03.99,MER110
40145,Merida,Liv,1999,15.03.99,MER071
40146,Merida,Liv,1999,15.03.99,MER067
40147,Merida,Liv,1999,15.03.99,MER123
40148,Merida,Liv,1999,15.03.99,MER103
40149,Merida,Liv,1999,15.03.99,MER069
40150,Merida,Liv,1999,16.03.99,MER097
40151,Merida,Liv,1999,16.03.99,MER099
40152,Merida,Liv,1999,22.03.99,MER077
40153,Merida,Liv,1999,16.03.99,MER088
40154,Merida,Liv,1999,16.03.99,MER102
40155,Merida,Liv,1999,16.03.99,MER066
40156,Merida,Liv,1999,16.03.99,MER095
40157,Merida,Liv,1999,16.03.99,MER042
40158,Merida,Liv,1999,16.03.99,MER008
40159,Merida,Liv,1999,17.03.99,MER002
40160,Merida,Liv,1999,22.03.99,MER115
40161,Merida,Liv,1999,20.03.99,MER100
40162,Merida,Liv,1999,22.03.99,MER075
40163,Merida,Liv,1999,22.03.99,MER103
40164,Merida,Liv,1999,22.03.99,MER105
40165,Merida,Liv,1999,22.03.99,MER072
40166,Merida,Liv,1999,24.03.99,MER018
40167,Merida,Liv,1999,30.03.99,MER009
40168,Merida,Liv,1999,30.03.99,MER019
40169,Merida,Liv,1999,30.03.99,MER037
40170,Merida,Liv,1999,30.03.99,MER077
40171,Merida,Liv,1999,03.04.99,MER099
40172,Merida,Liv,1999,03.04.99,MER090
40173,Merida,Liv,1999,03.04.99,MER038
40174,Merida,Liv,1999,03.04.99,MER107
40175,Merida,Liv,1999,03.04.99,MER051
40176,Merida,Liv,1999,03.04.99,MER027
40178,Merida,Liv,1999,06.04.99,MER097
40179,Merida,Liv,1999,10.04.99,MER003
40180,Merida,Liv,1999,13.04.99,MER109
40181,Merida,Liv,1999,19.04.99,MER121
40182,Merida,Liv,1999,26.04.99,MER057
40183,Merida,Liv,1999,26.04.99,MER098
