Latitude	Longitude	Region	Population	Id	Family	Stage_of_anther_stigma_contact
37.1794	119.5124	3	13	10.2	10	4
37.1794	119.5124	3	13	10.3	10	3.5
37.1794	119.5124	3	13	11.2	11	3
37.1794	119.5124	3	13	11.4	11	4
37.1794	119.5124	3	13	17.1	17	3.5
37.1794	119.5124	3	13	17.2	17	2.5
37.1794	119.5124	3	13	19.1	19	3
37.1794	119.5124	3	13	19.2	19	3.5
38.7238	112.266	4	17	4.1	4	3
38.7238	112.266	4	17	4.5	4	3
38.7238	112.266	4	17	5.1	5	3
38.7238	112.266	4	17	5.3	5	3.5
38.7238	112.266	4	17	6.1	6	3
38.7238	112.266	4	17	6.2	6	4
38.7238	112.266	4	17	8.1	8	3
38.7238	112.266	4	17	8.2	8	3
38.7238	112.266	4	17	9.1	9	3
38.7238	112.266	4	17	9.2	9	3.5
38.7238	112.266	4	17	13.1	13	4
38.7238	112.266	4	17	13.3	13	3.5
38.7238	112.266	4	17	15.3	15	3.5
38.7238	112.266	4	17	15.5	15	3
37.3292	121.6813	4	19	2.1	2	3
37.3292	121.6813	4	19	2.2	2	2.5
37.3292	121.6813	4	19	3.1	3	3.5
37.3292	121.6813	4	19	3.2	3	3
37.3292	121.6813	4	19	5.1	5	3
37.3292	121.6813	4	19	5.2	5	3.5
37.3292	121.6813	4	19	9.1	9	3.5
37.3292	121.6813	4	19	9.2	9	3
37.3292	121.6813	4	19	10.2	10	3
37.3292	121.6813	4	19	10.4	10	3.5
37.3292	121.6813	4	19	15.3	15	3.5
37.3292	121.6813	4	19	15.4	15	3
37.3292	121.6813	4	19	16.2	16	3
37.3292	121.6813	4	19	16.3	16	3
37.3292	121.6813	4	19	19.2	19	3
37.3292	121.6813	4	19	19.4	19	3
34.5615	119.5615	2	61	3.2	3	2.5
34.5615	119.5615	2	61	3.3	3	3
34.5615	119.5615	2	61	4.1	4	4
34.5615	119.5615	2	61	4.4	4	3
34.5615	119.5615	2	61	10.2	10	3
34.5615	119.5615	2	61	10.3	10	2
34.5615	119.5615	2	61	17.3	17	3
34.5615	119.5615	2	61	17.4	17	3.5
