ind.,germ. Date,Dam ,sire,famdam,inddam,famsire,indsire,diallel block,stage,flower,meas date,date,GSDL,GSDC,GSDR,GAD,ASD,GWL,GWR,GWTot,GHL,GHR,SWL,SWC,SWR,UBL,UBC,UBR,UBW,LBL,LBC,LBR,LBW,nbre stam fl,st. fl. C,st. fl. R.,color,Self 0=no/1=yes,Cot1,Cot2,age(days),rem
51001,8/22/1999,74.10.046,72.10.141,74,10046,72,10141,10,1,1,3/14/2000,108,4.31,4.04,2.89,4.49,5.81,3.23,3.61,6.64,2.86,3.06,1.15,1.28,1.17,16.07,17.81,16.12,18.06,15.83,20.16,15.74,18.06,3,3,3,2,0,10.58,10.5,6,
51001,8/22/1999,74.10.046,72.10.141,74,10046,72,10141,10,1,2,3/28/2000,122,3.63,4.03,3.53,4.6,4.33,3.36,3.66,6.62,3.12,3.29,1.26,1.31,1.27,16.91,18.49,16.38,19.31,16.36,18.85,16.24,18.59,3,3,3,1,0,,,,
51002,8/22/1999,78.10.200,10.10.052,78,10200,10,10052,12,1,1,3/1/2000,95,3.83,5.16,4.72,4.86,2.41,3.44,4.11,7.06,3.31,3.09,1.5,1.48,1.42,17.62,18.75,17.88,19.59,18.41,20.91,17.18,19.57,0,3,3,1,0,11.49,11.86,7,
51002,8/22/1999,78.10.200,10.10.052,78,10200,10,10052,12,1,2,3/20/2000,114,4.56,4.97,3.79,5.13,3.79,3.51,3.34,6.19,2.97,2.82,1.41,1.44,1.44,17.17,19.22,15.78,20.84,17.56,19.53,17.91,20.16,3,3,3,1,0,,,,
51003,8/22/1999,2.10.018,82.10.133,2,10018,82,10133,4,1,1,2/1/2000,66,3.86,5.16,3.61,4.43,3.93,3.57,3.78,6.73,2.59,2.83,1.28,1.36,1.46,15.28,17.37,14.69,15.51,14.5,17.8,14.3,15.88,2,3,2,2,0,9.41,9.57,6,
51003,8/22/1999,2.10.018,82.10.133,2,10018,82,10133,4,2,2,2/1/2000,66,3.45,4.68,3.57,4.87,3.69,3.56,3.78,6.38,2.9,2.92,1.28,1.52,1.36,15.53,19.33,15.99,17.09,15.65,20.18,15.73,17.27,2,3,2,4,0,,,,
51004,8/22/1999,48.10.064,11.10.143,48,10064,11,10143,12,1,1,2/6/2000,71,3.26,4.04,3.2,4.66,3.31,2.97,2.9,5.8,2.36,2.3,1.38,1.37,1.46,16.17,18.3,15.93,19.87,15.51,18.65,14.78,16.73,3,2,3,3,0,10.61,10.38,6,
51004,8/22/1999,48.10.064,11.10.143,48,10064,11,10143,12,1,2,2/18/2000,83,4.39,5.46,3.7,5.1,5.74,3.9,3.28,6.85,3.26,2.96,1.66,1.72,1.64,18.36,23.22,18.87,24.36,22.37,26.86,22.35,26.86,3,3,3,5,0,,,,
51005,8/22/1999,48.10.064,10.10.052,48,10064,10,10052,12,1,1,2/29/2000,94,4.8,5.3,5.02,4.11,2.99,4.71,3.63,7.68,3.47,3.49,1.64,1.66,1.61,15.96,18.5,16.91,21.88,18.29,22.75,18.7,22.89,3,3,3,3,0,11.65,11.19,6,
51005,8/22/1999,48.10.064,10.10.052,48,10064,10,10052,12,3,2,3/1/2000,95,5.77,5.94,4.54,4.25,4.63,4.07,3.96,7.97,3.48,3.78,1.76,1.84,1.87,18.36,22.58,20.51,24.91,20.39,25.87,20.91,24.95,3,3,3,3,0,,,,
51006,8/22/1999,68.10.089 ,68.10.089 ,68,10089,68,10089,5,1,1,2/6/2000,71,3.69,4.38,3.43,3.97,3.98,2.68,3.13,5.42,1.92,2.32,1.2,1.1,1.19,12.77,16.11,12.25,16.48,13.09,16.4,14.26,15.37,3,3,3,4,1,10.61,10.49,6,
51006,8/22/1999,68.10.089 ,68.10.089 ,68,10089,68,10089,5,1,2,3/8/2000,102,5.28,7.97,5.87,4.76,4.77,3.12,3.56,6.11,2.54,2.86,1.38,1.31,1.41,16.12,19,16.11,21.63,18.17,22.08,18.62,23.04,3,3,3,1,1,,,,
51007,8/22/1999,75.10.038,75.10.038,75,10038,75,10038,11,1,1,3/1/2000,95,4.64,5.4,4.79,4.7,1.82,3.81,3.71,7.05,2.92,2.83,1.48,1.61,1.5,15.32,18.62,15.51,20.95,17.55,20.49,18.1,20.99,3,3,2,1,1,12.67,12.43,6,
51007,8/22/1999,75.10.038,75.10.038,75,10038,75,10038,11,3,2,3/15/2000,109,4.07,5.18,4.3,4.64,4.44,3.29,3.44,6.4,2.77,2.4,1.63,1.8,1.67,16.78,18.13,16.3,20.26,16.39,20.58,16.89,20.91,3,3,3,2,1,,,,
51008,8/22/1999,68.10.089,65.10.131,68,10089,65,10131,5,1,1,3/1/2000,95,5.01,6.03,5.1,4.14,5.42,3.75,3.68,6.55,2.78,2.83,1.35,1.38,1.33,17.87,20.62,17.61,21.58,19.05,22.74,19.02,21.9,3,3,3,4,0,15.43,15,6,
51009,8/22/1999,33.10.083,58.10.029,33,10083,58,10029,4,1,1,1/20/2000,54,4.02,5.21,3.72,3.88,3.92,3,2.81,5.69,2.52,1.84,1.24,1.34,1.26,14.84,18.1,15.58,18.31,15.31,18.4,15.01,16.56,3,3,3,3,0,14.5,13.95,6,
51009,8/22/1999,33.10.083,58.10.029,33,10083,58,10029,4,1,2,3/20/2000,114,4.64,4.76,4.18,4.72,4.04,3.38,3.91,6.53,3.11,3.17,1.28,1.43,1.27,16.46,18.61,16.35,20.52,15.91,17.78,16.47,19.62,3,3,3,1,0,,,,
51010,8/22/1999,15.10.007,2.10.018,15,10007,2,10018,4,3,1,1/4/2000,38,3.01,3.47,3.26,5.35,4.67,2.62,2.09,5.18,2.29,2.31,1.18,1.23,1.05,16.43,20.27,15.34,18.36,16.59,19.75,16.41,16.25,3,3,3,4,0,10.82,13.82,6,
51010,8/22/1999,15.10.007,2.10.018,15,10007,2,10018,4,3,2,3/7/2000,101,4.73,6.35,4.97,4.76,5.86,3.62,3.87,7.02,3.13,3.22,1.58,1.49,1.46,18.61,22.25,19.21,23.72,21.75,25.4,21.65,25.88,3,3,3,3,0,,,,
51011,8/22/1999,28.10.183,9.10.165,28,10183,9,10165,3,1,1,2/23/2000,88,4.06,5.11,3.95,4.68,2.92,2.93,3.36,5.86,2.52,2.92,1.16,1.17,1.18,16.63,18.89,15.74,17.88,18.23,20.74,17.98,18.4,3,3,3,1,0,10.95,11.12,6,
51011,8/22/1999,28.10.183,9.10.165,28,10183,9,10165,3,3,2,2/29/2000,94,4.36,5.7,4.97,5.24,5.37,3.55,3.94,7.46,3.39,3.65,1.6,1.59,1.49,17,19.06,16.98,22.22,17.97,22.07,17.78,22.33,3,3,3,2,0,,,,
51012,8/22/1999,9.10.165,39.10.187,9,10165,39,10187,3,1,1,1/31/2000,65,4.7,5.16,3.94,4.26,2.28,3.1,2.94,4.97,2.32,2.55,1.28,1.13,1.16,14.63,17.18,14.14,17.68,15.86,17.65,16.15,18.1,2,2,2,1,0,10.28,10.23,6,
51012,8/22/1999,9.10.165,39.10.187,9,10165,39,10187,3,1,2,2/23/2000,88,3.82,4.6,4.22,4.94,2.76,2.48,3.17,5.26,2.52,1.88,1.15,1.25,1.16,14.57,18.74,15.28,17.71,16.95,20.32,16.25,19.21,2,2,2,1,0,,,,
51013,8/22/1999,38.10.185,14.10.054,38,10185,14,10054,2,1,1,3/2/2000,96,4.38,5.04,3.56,5.27,2.05,2.82,3.13,5.66,2.68,2.59,1.19,1.21,1.24,13.7,15.78,14.44,17.82,14.36,16.8,14.32,17.25,3,3,3,1,0,9.43,9.39,7,
51013,8/22/1999,38.10.185,14.10.054,38,10185,14,10054,2,1,2,3/8/2000,102,3.9,4.32,2.96,3.54,3.14,3.16,2.58,5.47,2.2,2.04,1.09,1.14,1.17,14.3,16.13,13.06,16.15,14.9,17.6,15.08,15.53,2,3,3,1,0,,,,
51014,8/22/1999,26.10.103,19.10.172,26,10103,19,10172,1,3,1,1/24/2000,58,4.26,6.11,4.48,4.69,5.08,3.48,3.61,6.76,2.43,2.3,1.15,1.17,1.18,22.68,23.13,21.24,25.88,20.93,24.99,21.23,26.26,2,3,2,4,0,,,,
51014,8/22/1999,26.10.103,19.10.172,26,10103,19,10172,1,1,2,2/3/2000,68,2.94,4.04,3.22,3.81,2.47,2.94,2.86,5.2,1.95,2.18,1,1.1,0.97,17.71,19.47,16.64,18.73,18.24,21.55,17.59,19.39,3,3,3,1,0,,,,
51015,8/22/1999,26.10.103,26.10.103,26,10103,26,10103,1,3,1,1/6/2000,40,4.36,5.88,4.29,4.24,5.01,3.88,4.33,7.83,3.1,3.43,1.32,1.38,1.39,21.78,25.2,20.65,25.83,22.9,27.94,24.03,26.74,3,2,3,2,1,10.94,10.38,6,
51015,8/22/1999,26.10.103,26.10.103,26,10103,26,10103,1,1,2,9/13/2000,291,3.89,4.57,4.11,3.99,3.15,4.19,2.61,6.95,3.89,4.19,1.39,1.52,1.58,16.88,18.51,16.64,20.58,18.51,21.11,18.28,21.82,3,3,3,2,1,,,,stam. Fl. On the right into the gld. 
51016,8/22/1999,38.10.185,23.10.188,38,10185,23,10188,2,1,1,3/23/2000,117,5.34,4.91,4.67,5.88,2.93,3.79,3.26,6.77,3.15,2.87,1.31,1.38,1.37,15.05,16.34,15.22,19.8,15.07,17.47,16.14,19.59,3,3,3,2,0,11.12,11.43,6,
51016,8/22/1999,38.10.185,23.10.188,38,10185,23,10188,2,1,2,4/10/2000,135,4.67,6.13,4.77,5.37,3.14,2.73,2.61,6.16,1.82,2.04,1.42,1.38,1.33,18.13,20.32,19.79,22.77,19.01,23.88,18.86,24.67,3,3,3,3,0,,,,
51017,8/22/1999,12.10.167,14.10.054,12,10167,14,10054,2,1,1,2/9/2000,74,4.31,4.93,4.24,4.8,6.93,3.22,4.7,6.91,3.44,2.79,1.09,1.14,1.11,19.36,22.07,19.33,23.61,20.98,25.33,20.39,24.39,3,1,3,3,0,14.06,14.26,13,
51017,8/22/1999,12.10.167,14.10.054,12,10167,14,10054,2,1,2,2/15/2000,80,4.32,4.62,4.1,4.83,1.99,3.17,3.76,6.61,2.6,2.84,1.27,1.23,1.25,19.47,20.85,17.5,20.42,18.93,23.69,18.21,20.93,3,3,2,,0,,,,
51018,8/22/1999,19.10.172,83.10.075,19,10172,83,10075,1,1,1,3/2/2000,96,5.44,6.38,4.39,6.34,2.8,4.03,4.1,7.32,3.27,3.14,1.71,1.74,1.65,17.81,19.94,17.64,23.51,20.16,22.89,20.37,24.32,3,3,3,1,0,9.92,10.53,6,
51018,8/22/1999,19.10.172,83.10.075,19,10172,83,10075,1,1,2,4/2/2000,127,4.46,5.54,4.46,4.67,3.49,4.42,4.25,7.69,2.56,3.38,1.53,1.5,1.48,15.11,17.04,14.75,19.9,16.7,17.94,15.99,20.77,3,3,3,1,0,,,,
51019,8/22/1999,12.10.167,59.10.030,12,10167,59,10030,2,2,1,3/7/2000,101,4.58,4.31,3.58,4.98,3.58,3.73,4.12,6.92,2.57,4.57,1.35,1.45,1.43,18.25,20.28,17.71,22.32,17.43,22.68,18.88,24.22,3,5,3,3,0,9.96,9.85,10,
51019,8/22/1999,12.10.167,59.10.030,12,10167,59,10030,2,1,2,3/14/2000,108,4.72,5.16,4.75,4.7,2.95,4,3.57,6.46,3.06,2.82,1.37,1.43,1.41,16.08,17.2,15.66,20.11,15.99,19.17,15.64,20.91,3,3,3,2,0,,,,
51020,8/22/1999,12.10.167,12.10.167,12,10167,12,10167,2,1,1,2/2/2000,67,4.15,4.85,3.84,5.08,5.51,3.55,2.95,5.99,2.24,2.44,1.15,1.19,1.22,18.39,20.49,17.54,19.23,18.46,22.05,18.13,18.65,2,2,2,4,1,12.64,11.81,23,
51020,8/22/1999,12.10.167,12.10.167,12,10167,12,10167,2,1,2,3/6/2000,100,5.61,5.54,4.85,5.59,4.88,3.14,3.15,6.52,3.1,3.17,1.59,1.56,1.55,18.47,22.72,18.86,22.86,22.01,26.15,21.36,26.42,3,3,3,3,1,,,,
51021,8/22/1999,19.10.172,7.10.061,19,10172,7,10061,1,1,1,1/18/2000,52,3.81,5.01,3.77,3.82,3.35,2.95,3.32,6.12,2.26,2.71,1.37,1.21,1.3,20.46,22.44,20.72,22.65,19.23,22.38,19.63,22.77,3,3,3,3,0,9.65,10.23,8,
51021,8/22/1999,19.10.172,7.10.061,19,10172,7,10061,1,1,2,1/25/2000,59,2.9,4.38,2.72,4.95,3.14,3.16,2.44,5.75,2.63,2.55,1.1,1.35,1.16,17.13,19.12,17.03,18.9,16.47,20.56,15.98,18.77,2,2,1,1,0,,,,
51022,8/22/1999,14.10.054,12.10.167,14,10054,12,10167,2,1,1,1/7/2000,41,4.69,5.08,3.93,4.94,4.59,3.03,3.04,5.8,2.72,2.62,1.22,1.24,1.23,17.26,20.18,17.4,19.4,17.77,20.88,18.32,18.81,3,3,3,2,0,11.24,11.1,7,
51022,8/22/1999,14.10.054,12.10.167,14,10054,12,10167,2,1,2,2/3/2000,68,4.21,4.89,3.67,5.64,3.61,3.53,3.92,6.82,2.79,2.87,1.13,1.22,1.14,17.49,19.39,17.78,19.87,17.86,20.82,17.62,18.74,3,3,3,2,0,,,,
51023,8/22/1999,23.10.188,12.10.167,23,10188,12,10167,2,1,1,1/5/2000,39,4.27,4.98,4.59,3.75,2.63,3.55,3.34,6.93,2.65,2.82,1.34,1.32,1.32,15.18,17.56,14.89,19.6,15.49,18.51,16.04,18.47,2,3,3,3,0,8.88,8.96,8,
51023,8/22/1999,23.10.188,12.10.167,23,10188,12,10167,2,1,2,1/5/2000,39,3.97,5.44,5.26,4.62,2.55,3.82,3.34,6.89,3.19,2.75,1.28,1.33,1.27,14.81,18.51,15.42,19.08,17.47,19.68,15.76,18.5,3,3,3,2,0,,,,
51023,8/22/1999,23.10.188,12.10.167,23,10188,12,10167,2,1,3,1/11/2000,45,4.98,5.82,4.95,3.84,4.18,3.43,3.29,6.36,2.89,2.83,1.39,1.41,1.37,16.4,20.32,18.22,19.84,17.84,20.68,17.41,18.98,3,3,3,3,0,,,,
51024,8/22/1999,39.10.187,13.10.170,39,10187,13,10170,3,1,1,2/25/2000,90,5.83,5.99,5.17,4.39,3.42,3.96,3.31,6.62,2.34,2.94,1.5,1.43,1.47,16.58,19.35,16.1,20.68,16.92,20.35,17.71,19.77,3,3,3,3,0,10.93,13.12,7,
51024,8/22/1999,39.10.187,13.10.170,39,10187,13,10170,3,1,2,2/28/2000,93,4.92,6.54,4.09,4.87,3.59,3.56,3.5,6.69,3.26,2.94,1.31,1.38,1.4,16.35,17.93,15.61,19.68,17.04,19.91,15.82,18.37,3,3,3,2,0,,,,
51025,8/22/1999,52.10.006,52.10.006,52,10006,52,10006,6,1,1,2/7/2000,72,5.4,5.88,5.15,4.71,4.81,2.82,3.05,5.66,2.4,2.4,1.18,1.31,1.16,15.91,19.3,16.41,18.95,16.07,20.43,17.18,17.34,3,3,3,2,1,11.12,10.43,6,
51025,8/22/1999,52.10.006,52.10.006,52,10006,52,10006,6,1,2,2/16/2000,81,5.83,6.78,5.54,4.92,3.61,3.3,3.36,6.27,2.91,2.92,1.48,1.31,1.42,16.88,20.73,17.77,20.28,17.98,22.13,17.52,21.34,3,3,3,3,1,,,,
51026,8/22/1999,6.10.069,51.10.044,6,10069,51,10044,7,1,1,2/23/2000,88,4.27,5.87,4.75,4.51,4.12,4.63,3.67,7.29,3.32,2.97,1.45,1.63,1.5,15.21,20.47,16.51,21.31,19.37,23.1,19.52,22.79,3,3,3,3,0,10.64,10.55,6,
51026,8/22/1999,6.10.069,51.10.044,6,10069,51,10044,7,1,2,2/29/2000,94,3.48,3.64,4.33,4.29,4.8,4.26,3.71,7.97,4.04,3.39,1.58,1.68,1.54,15.97,17.13,17.09,21.66,16.21,20.97,17.33,21.6,2,3,3,3,0,,,,
51027,8/22/1999,52.10.006,73.10.037,52,10006,73,10037,6,2,1,3/2/2000,96,3.87,4.82,3.57,5,4.54,3.31,2.98,5.52,2.69,2.64,1.17,1.11,1.12,18.77,20.67,18.5,21.88,17.32,20.3,17.25,20.69,3,3,3,1,0,11.52,11.95,6,1 add. Pist. Fl.
51027,8/22/1999,52.10.006,73.10.037,52,10006,73,10037,6,1,2,3/5/2000,99,4.95,5.99,4.72,4.44,4.05,2.95,3.78,6.37,2.67,3.11,1.16,1.19,1.23,16.58,18.31,17.69,21.37,20.01,22.65,19.05,22.78,3,3,3,1,0,,,,
51028,8/22/1999,41.10.020,41.10.020,41,10020,41,10020,7,3,1,1/25/2000,59,5.1,6.74,4.94,5.96,3.42,3.28,3.33,6.21,2.85,2.5,1.38,1.33,1.41,18.54,21.48,19.52,21.19,17.9,22.04,17.78,19.89,3,3,3,3,1,12.26,12.04,6,
51028,8/22/1999,41.10.020,41.10.020,41,10020,41,10020,7,3,2,1/26/2000,60,4.59,5.9,4.68,5.28,4.69,3.69,2.95,6.18,2.65,2.69,1.42,1.39,1.22,16.98,21.08,18.88,19.69,17.19,21.04,18.19,18.79,3,3,3,2,1,,,,
51029,8/22/1999,34.10.109,80.10.065,34,10109,80,10065,11,1,1,3/23/2000,117,4.94,5.33,4.21,4.6,2.68,3.31,3.26,5.97,2.97,2.64,1.31,1.4,1.38,13.9,16.67,13.79,18.62,15.33,18.47,15.05,19.09,3,3,3,2,0,13.7,13.75,6,
51029,8/22/1999,34.10.109,80.10.065,34,10109,80,10065,11,2,2,4/5/2000,130,5.35,5.44,4.47,5.02,2.83,3.56,4.03,6.9,3.2,2.88,1.54,1.42,1.51,17.7,20.01,19.05,21.58,19.78,23.22,19.72,23.27,3,3,3,2,0,,,,
51031,8/22/1999,19.10.172,84.10.040,19,10172,84,10040,1,1,1,3/9/2000,103,4.14,5.58,4.62,4.87,2.58,4.04,4.32,7.82,4.05,3.8,1.66,1.69,1.62,17.88,20.28,16.8,22.13,18.4,22.04,18.65,22.93,3,3,3,2,0,17.62,17.7,6,
51031,8/22/1999,19.10.172,84.10.040,19,10172,84,10040,1,3,2,3/14/2000,108,6.33,8.13,5.61,5.15,8.19,5.36,4.18,8.61,4.19,4.21,1.9,1.65,1.9,21.26,23.01,20.15,26.51,21.97,24.97,21.25,27.45,3,3,3,3,0,,,,
51032,8/22/1999,21.10.175,71.10.196,21,10175,71,10196,8,1,1,1/4/2000,38,3.58,4.78,4.35,4.59,4.34,3.1,3.26,6.23,2.64,2.67,1.42,1.41,1.52,16.34,18.43,17.95,19.57,15.56,17.69,16.12,17.76,3,3,3,2,0,15.78,16.05,7,
51032,8/22/1999,21.10.175,71.10.196,21,10175,71,10196,8,3,2,1/11/2000,45,5.64,5.99,5.29,4.63,4.64,3.34,3.21,6.45,3.13,3.05,1.29,1.25,1.24,18.7,21.07,19.31,22.28,18.91,23.92,19.92,22.09,3,3,3,3,0,,,,
51033,8/22/1999,4.10.051,4.10.051,4,10051,4,10051,5,1,1,1/28/2000,62,3.82,5.28,4.02,4.47,3.32,3.37,3.07,6.04,2.8,2.63,1.06,1.15,1.11,16.96,18.75,16.23,19.26,17.01,18.5,15.92,17.8,3,3,3,1,1,14.14,13.53,6,
51033,8/22/1999,4.10.051,4.10.051,4,10051,4,10051,5,1,2,2/8/2000,73,3.78,4.46,4.16,4.57,3.1,3.11,3.05,5.45,2.62,2.41,1.18,1.33,1.16,17.29,19.49,16.98,20.6,16.26,19.31,16.74,19.64,3,3,3,1,1,,,,
51034,8/22/1999,83.10.075,84.10.040,83,10075,84,10040,1,1,1,3/17/2000,111,3.81,5.42,4.13,5.14,4.12,3.51,3.78,6.79,3.12,2.96,1.54,1.41,1.4,18.16,19.88,17.48,21.02,17.98,20.87,17.78,20.79,3,3,3,2,0,16.83,17.5,6,
51034,8/22/1999,83.10.075,84.10.040,83,10075,84,10040,1,1,2,3/23/2000,117,3.61,4.99,3.83,4.81,3.79,2.98,3.47,6.03,2.77,2.86,1.19,1.23,1.12,15.39,17.37,15.34,19.21,16.03,19.01,15.84,19.45,3,3,3,1,0,,,,
51035,8/22/1999,9.10.166,28.10.183,9,10166,28,10183,3,2,1,1/3/2000,37,4.85,5.7,4.84,4.66,4.87,3.43,3.65,6.69,3.26,3.3,1.33,1.4,1.33,16.3,18.73,16.32,20.92,15.71,19.03,15.84,18.51,3,3,3,3,0,13.77,13.94,6,
51035,8/22/1999,9.10.166,28.10.183,9,10166,28,10183,3,1,2,1/16/2000,50,5.23,6.27,4.97,4.58,3.19,3.2,3.18,6.44,2.84,3.2,1.19,1.21,1.26,18.45,21.16,19.04,25.41,21.8,24.18,21.53,24.45,3,3,3,1,0,,,,
51036,8/22/1999,65.10.131,65.10.131,65,10131,65,10131,5,1,1,3/31/2000,125,3.94,4.88,3.66,4.5,3.76,3.67,3.49,6.79,3.52,3.48,1.39,1.39,1.35,15.34,17.22,16.28,20.6,16.94,19.76,17.18,20.98,3,3,3,2,1,16.7,17.01,6,
51036,8/22/1999,65.10.131,65.10.131,65,10131,65,10131,5,2,2,4/5/2000,130,4.7,5.2,3.89,5.73,3.3,3.37,4.96,7.42,3.8,3.62,1.4,1.47,1.36,17.04,18.6,17.68,22.65,19.85,22.03,19.37,24.04,3,3,3,2,1,,,,
51038,8/23/1999,36.10.112,8.10.071,36,10112,8,10071,8,1,1,1/26/2000,60,4.64,5.73,4.39,5.23,3.19,3.52,3.27,6.33,2.97,3.63,1.37,1.32,1.37,17.62,20.96,18.63,20.52,18.84,23.56,19.4,22.42,3,3,2,4,0,,,,
51038,8/23/1999,36.10.112,8.10.071,36,10112,8,10071,8,1,2,2/7/2000,72,,4.22,3.78,4.21,1.93,3.19,3.83,6.53,2.84,2.79,,1.29,1.15,15.14,16.42,16.4,18.83,15.46,18.11,16.91,18.51,3,3,2,1,0,,,,
51039,8/23/1999,55.10.002,66.10.162,55,10002,66,10162,6,1,1,2/25/2000,90,2.93,3.94,3.32,3.9,3.48,3.28,2.82,5.63,2.37,2.3,0.95,1.1,1.1,15.72,16.25,15.35,18.05,17.02,19.92,16.43,18.14,3,1,3,2,0,10.02,10.08,7,
51039,8/23/1999,55.10.002,66.10.162,55,10002,66,10162,6,3,2,3/7/2000,101,5.72,6.2,5.52,5.9,3.7,4.15,4.53,7.8,3.66,4.1,1.54,1.46,1.5,17.55,20,17.23,21.67,17.92,22.74,17.75,21.39,3,3,3,2,0,,,,
51040,8/23/1999,52.10.026,72.10.141,52,10026,72,10141,6,1,1,2/15/2000,80,3.08,4,3.51,4.32,2.41,2.83,2.76,5.63,2.21,2.1,1.01,1.05,1.06,15.02,17.18,15.15,15.92,15.81,18.66,16,15.92,2,3,3,1,0,9.24,9.9,7,
51040,8/23/1999,52.10.026,72.10.141,52,10026,72,10141,6,1,2,2/25/2000,90,4.68,5.32,3.94,5.38,4.01,3.76,3.75,7.2,4.16,3.68,1.49,1.54,1.48,17.67,19.74,18.01,21.64,19.24,22.62,19.42,21.01,3,3,3,3,0,,,,
51041,8/23/1999,27.10.181,4.10.051,27,10181,4,10051,5,1,1,3/8/2000,102,5.26,6.3,4.79,5.17,5.78,3.94,3.8,6.99,3.35,3.19,1.66,1.66,1.59,17.25,19.54,16.38,21.67,17.85,19.8,18.1,21.89,3,3,3,2,0,9.81,9.98,8,
51041,8/23/1999,27.10.181,4.10.051,27,10181,4,10051,5,3,2,3/15/2000,109,5.07,6.2,5.64,6.1,4.76,3.6,4.09,7.25,3.17,3.45,1.66,1.67,1.65,18.16,20.31,17.6,23.39,19,21.52,19.51,22.71,3,3,3,1,0,,,,
51042,8/23/1999,33.10.083,58.10.029,33,10083,58,10029,4,1,1,2/8/2000,73,4.16,5.14,4.2,5.23,2.04,3.48,3.79,6.97,3.07,3.43,1.29,1.42,1.3,16.58,17.86,17,19.96,15.49,19.99,13.42,19.44,3,3,3,3,0,10.23,10.15,8,
51042,8/23/1999,33.10.083,58.10.029,33,10083,58,10029,4,2,2,3/13/2000,107,5.11,5.4,4.22,4.51,3.53,2.96,2.97,5.72,2.7,2.88,1.43,1.49,1.42,15.28,16.58,15.15,18.87,16.16,18.18,16.1,19.2,3,5,3,2,0,,,,
51044,8/23/1999,13.10.170,13.10.170,13,10170,13,10170,3,1,1,3/5/2000,99,4.33,4.95,4.35,3.82,1.97,3.72,2.97,6.15,2.67,2.16,1.56,1.54,1.66,15.24,19,16.18,19.52,17.64,20.2,17.9,21.67,3,3,3,1,1,8.4,8.33,8,
51044,8/23/1999,13.10.170,13.10.170,13,10170,13,10170,3,1,2,3/9/2000,103,6.39,6.33,3.94,5.16,2.91,3.96,4.1,7.13,3.42,3.19,1.46,1.54,1.57,15.92,19.17,17.53,21.28,18.93,22.18,18.75,21.94,3,3,3,2,1,,,,
51045,8/23/1999,48.10.064,78.10.200,48,10064,78,10200,12,1,1,3/29/2000,123,4.78,6.03,5.02,5.36,3,3.79,3.68,7.22,3.39,3.26,1.86,1.72,1.97,16.25,20.25,17.77,21.87,18.01,20.84,17.95,21.06,3,3,3,2,0,9.45,9.56,8,
51045,8/23/1999,48.10.064,78.10.200,48,10064,78,10200,12,3,2,4/3/2000,128,5.06,6.35,4.31,5.1,3.23,3.37,3.36,6.41,3.12,3.16,1.59,1.59,1.58,16.57,19.22,17.14,22.77,19.12,22.38,18.7,21.87,3,3,3,2,0,,,,
51046,8/23/1999,84.10.040,19.10.172,84,10040,19,10172,1,3,1,1/31/2000,65,5.45,7.27,5.08,4.31,6.34,3.43,3.2,6.32,2.5,2.77,1.53,1.66,1.63,17.19,20.74,18.45,21.85,19.14,22.03,19.21,20.77,3,3,3,3,0,9.71,9.66,7,
51046,8/23/1999,84.10.040,19.10.172,84,10040,19,10172,1,1,2,2/16/2000,81,6.09,7.51,5.91,5.04,4.27,3.8,3.09,6.35,3.01,3.34,1.67,1.7,1.67,18.23,22.07,19.02,23.22,20.46,25.79,20.66,25.79,3,3,3,3,0,,,,
51047,8/23/1999,84.10.040,19.10.172,84,10040,19,10172,1,1,1,1/28/2000,62,4.92,6.67,4.95,4.84,2.52,4.1,3.49,7.15,3.72,3.5,1.45,1.52,1.38,19.72,23.18,20.16,24.11,20.96,25.07,21.45,24.37,3,3,3,3,0,10.75,10.72,9,
51047,8/23/1999,84.10.040,19.10.172,84,10040,19,10172,1,3,2,2/1/2000,66,4.15,5.71,4.44,6.14,3.89,3.06,2.91,5.49,2.27,2.53,1.32,1.44,1.28,19.01,20.61,17.48,21.89,17.33,20.27,17.4,19.2,2,3,2,1,0,,,,
51048,8/23/1999,46.10.121,46.10.121,46,10121,46,10121,5,2,1,1/16/2000,50,4.59,6.1,5.21,4.49,4.87,3.05,2.81,5.84,2.43,2.67,1.49,1.5,1.37,21.55,23.03,21.27,24.82,21.11,23.25,21.13,24.1,3,3,3,3,1,,9.74,12,
51048,8/23/1999,46.10.121,46.10.121,46,10121,46,10121,5,2,2,1/31/2000,65,4.07,4.65,4.11,3.63,3.03,2.76,2.75,5.32,2.03,2.2,1.14,1.16,1.08,19.18,22.23,20.46,21.68,21.44,24.62,20.95,22.58,3,2,3,1,1,,,,
51049,8/23/1999,19.10.172,83.10.075,19,10172,83,10075,1,1,1,3/16/2000,110,4.45,5.63,4.86,5.29,3.84,3.76,3.94,7.44,2.97,3.21,1.55,1.37,1.52,15.76,20,18.22,22.4,19.24,22.95,19.77,24.22,2,3,3,2,0,10.88,10.89,7,
51049,8/23/1999,19.10.172,83.10.075,19,10172,83,10075,1,3,2,5/21/2000,176,4.28,5.44,4.34,5.55,4.14,3.57,4.4,7.63,4.1,4.05,1.71,1.57,1.72,17.17,16.97,17.68,24.2,18.71,21.5,19.38,24.1,3,3,3,3,0,,,,
51050,8/23/1999,7.10.061,19.10.172,7,10061,19,10172,1,1,1,1/19/2000,53,5.33,6.02,5.2,5.01,4.12,3.78,3.51,6.89,3.41,3.36,1.27,1.38,1.27,20.15,21.79,18.38,22.64,18.74,21.94,18.79,22.31,3,3,3,2,0,10.85,10.26,7,
