animal,dam,sire
51122,58.10.029,2.10.018
51123,68.10.089,4.10.051
51124,28.10.183,9.10.165
51125,13.10.170,39.10.187
51127,38.10.185,14.10.054
51128,7.10.061,83.10.075
51129,83.10.075,83.10.075
51130,38.10.185,23.10.188
51131,14.10.054,59.10.030
51132,14.10.054,12.10.167
51133,23.10.188,12.10.167
51134,59.10.030,59.10.030
51135,39.10.187,13.10.170
51136,6.10.069,51.10.044
51137,58.10.029,2.10.018
51139,41.10.020,41.10.020
51141,73.10.037,73.10.037
51142,2.10.018,2.10.018
51143,80.10.065,80.10.065
51144,24.10.077,45.10.119
51146,65.10.131,68.10.090
51147,6.10.069,41.10.020
51148,59.10.030,23.10.188
51152,52.10.026,23.10.101
51153,84.10.040,83.10.075
51155,12.10.167,59.10.030
51158,36.10.112,76.10.197
51160,73.10.037,66.10.162
51161,84.10.040,84.10.040
51163,3.10.117,80.10.065
51167,26.10.103,84.10.040
51170,19.10.172,84.10.040
51172,15.10.007,58.10.029
51173,25.10.081,81.10.142
51174,57.10.028,55.10.002
51177,68.10.089,68.10.089
51178,41.10.020,47.10.137
51179,34.10.109,80.10.065
51180,47.10.137,6.10.069
51181,47.10.137,51.10.209
51182,58.10.029,33.10.083
51183,65.10.131,4.10.163
51184,11.10.150,84.10.040
51185,56.10.191,51.10.044
51186,6.10.069,47.10.137
51187,6.10.069,47.10.137
51188,56.10.191,47.10.137
51189,28.10.183,39.10.187
51190,33.10.083,82.10.133
51191,46.10.121,4.10.051
51192,38.10.185,59.10.030
51193,63.10.161,63.10.161
51194,33.10.083,33.10.083
51195,82.10.133,2.10.018
51196,4.10.051,68.10.090
51197,83.10.075,7.10.061
51198,19.10.172,26.10.103
51199,2.10.018,15.10.007
51200,9.10.165,13.10.169
51201,33.10.083,15.10.007
51202,19.10.172,19.10.172
51203,63.10.161,28.10.183
51204,59.10.030,14.10.054
51205,39.10.187,39.10.187
51206,28.10.183,13.10.170
51207,58.10.029,82.10.133
51208,59.10.030,14.10.054
51209,23.10.188,23.10.188
51210,63.10.161,13.10.169
51211,63.10.161,39.10.187
51212,59.10.030,38.10.185
51213,7.10.061,84.10.040
51214,23.10.188,59.10.030
51215,58.10.029,15.10.007
51216,39.10.187,63.10.161
51217,63.10.161,9.10.165
51218,82.10.133,33.10.083
