Population;mp_Plant_height;mp_Leaf_distance;mp_Leaf_length;mp_Sepal_length;mp_Nectary_length;mp_Anther_length;o_Plant_height;o_Leaf_distance;o_Leaf_length;o_Sepal_length;o_Nectary_length;o_Anther_length;
Mikonos;342.5;7.0;12.0;12.05;7.33;8.21;387.4;39.9;25.2;11.69;7.71;8.04;
Mikonos;311.5;2.0;12.0;11.89;7.33;8.36;364.3;21.3;26.7;11.74;7.71;8.25;
Mikonos;361.5;6.0;11.5;12.20;6.88;7.79;454.1;34.8;22.9;11.80;7.10;7.36;
Mikonos;464.5;6.5;14.5;12.69;7.26;7.94;444.9;22.0;28.1;12.17;7.61;7.54;
Mikonos;209.0;1.5;13.0;11.32;7.37;7.98;331.6;12.4;24.5;13.24;8.17;8.09;
Mikonos;369.5;3.5;12.0;11.93;6.95;7.56;388.2;10.4;21.3;11.20;7.11;7.34;
Mikonos;242.0;5.0;14.0;12.01;7.07;7.83;358.2;21.0;27.2;12.05;7.55;8.04;
Mikonos;278.5;2.5;12.5;12.35;7.07;7.68;340.3;13.1;22.8;11.66;6.94;7.24;
Mikonos;371.0;3.0;14.0;12.39;7.30;8.32;380.7;20.3;24.6;12.39;7.52;7.81;
Mikonos;303.0;3.0;9.5;11.82;7.03;7.87;394.2;24.5;27.6;11.37;7.39;7.48;
Mikonos;253.0;6.0;10.5;11.40;7.45;7.45;402.9;21.5;22.1;12.64;8.03;7.46;
Mikonos;322.5;4.0;13.0;11.63;7.22;8.09;415.7;14.9;23.5;11.49;7.36;7.72;
Mikonos;302.5;3.5;12.0;12.16;7.26;7.83;300.9;9.0;18.3;11.61;7.12;7.40;
Mikonos;360.5;8.5;12.5;11.97;6.92;7.83;380.6;17.2;19.1;11.01;7.15;7.50;
Mikonos;311.5;3.5;15.0;12.54;7.90;8.40;378.5;12.4;27.7;12.29;7.69;7.59;
Siros;291.5;0.5;19.5;13.68;7.56;8.06;300.2;1.0;25.0;11.63;6.55;7.12;
Siros;310.0;4.5;16.5;14.93;8.09;8.63;429.6;13.3;28.0;12.50;7.51;7.89;
Siros;294.5;3.5;20.0;14.86;8.63;8.36;328.8;17.2;32.8;12.81;7.65;7.58;
Siros;300.5;3.5;15.5;14.48;7.94;8.25;426.5;6.6;23.5;12.44;7.06;7.43;
Siros;291.5;3.0;16.0;14.25;7.83;8.17;307.9;0.7;28.3;12.69;7.19;7.90;
Siros;270.0;1.5;15.5;13.76;7.49;7.94;355.1;3.2;28.4;12.54;7.30;7.88;
Siros;310.5;5.5;17.5;15.12;8.21;8.93;326.0;11.4;26.9;12.18;7.55;8.12;
Siros;317.5;1.5;16.0;13.57;7.87;8.59;355.1;1.4;28.3;12.31;7.41;7.66;
Siros;264.5;3.5;20.0;16.07;8.63;9.01;347.8;8.5;28.5;12.99;7.88;8.07;
Siros;250.0;2.5;18.0;14.29;7.68;8.40;325.3;5.0;26.3;12.35;7.25;8.18;
Siros;290.0;1.5;15.5;14.44;7.90;8.13;351.1;1.7;30.1;12.36;7.10;7.62;
Siros;254.0;5.0;18.5;13.68;7.71;8.09;316.5;3.3;24.4;12.14;6.93;7.21;
Siros;284.5;2.5;19.0;13.41;8.13;8.32;358.0;5.9;33.3;13.05;7.58;7.91;
Siros;210.5;3.0;18.5;14.78;7.94;8.25;310.4;10.0;31.0;13.18;7.27;7.61;
Siros;326.5;6.0;16.5;13.41;7.71;7.83;348.3;8.6;29.4;12.49;7.08;7.55;
Siros;291.5;3.0;19.5;14.63;8.06;8.28;321.7;3.5;30.6;13.01;7.46;7.63;
Siros;306.0;4.5;16.5;13.41;8.13;8.09;357.7;8.3;24.9;12.68;7.63;7.64;
Siros;259.0;5.0;21.5;14.86;8.63;8.89;332.8;10.7;30.9;12.88;7.76;7.75;
Siros;313.0;4.0;25.0;13.87;8.17;8.06;396.8;5.9;35.4;12.80;7.88;7.30;
Siros;318.0;7.5;18.5;14.63;8.28;8.55;334.9;10.4;25.3;11.95;7.40;7.46;
Siros;333.0;6.0;17.0;13.83;8.06;8.13;262.2;3.0;22.2;12.06;7.12;7.44;
Siros;266.0;3.0;19.5;14.63;7.79;8.47;324.0;5.4;28.6;13.24;7.24;7.67;
Siros;289.5;1.5;16.5;14.44;8.44;8.70;344.7;2.0;29.0;12.54;7.43;8.06;
Siros;241.0;2.5;20.0;13.79;7.68;8.13;350.7;4.2;30.4;12.13;7.02;7.19;
Siros;266.5;4.0;13.5;13.30;7.52;7.90;339.2;6.6;27.6;11.87;7.19;7.79;
Siros;313.0;3.0;17.0;14.25;8.17;8.17;414.1;7.2;26.6;12.75;7.49;7.85;
Siros;264.5;5.0;18.5;14.86;7.83;8.06;202.6;3.4;22.1;12.92;6.98;7.20;
Siros;315.5;2.5;18.0;14.44;8.09;8.70;340.9;3.9;26.6;12.31;7.15;7.80;
Siros;353.0;1.0;14.0;14.63;7.83;8.44;420.1;8.7;30.0;12.03;7.01;7.63;
Siros;269.0;5.0;18.5;14.59;8.06;8.13;274.3;4.9;25.1;13.49;7.48;7.39;
Siros;261.0;4.5;20.5;14.17;7.98;8.25;285.8;5.2;25.0;12.69;7.05;7.36;
Siros;298.0;6.5;16.5;13.45;7.68;7.60;362.9;6.0;25.6;12.90;7.58;7.96;
Siros;289.0;3.5;17.5;13.83;8.09;8.28;375.7;8.3;31.0;12.37;7.04;7.60;
Siros;256.5;4.0;18.5;14.25;7.94;8.47;318.8;9.7;29.8;12.97;7.52;8.01;
Siros;344.5;4.5;23.0;14.63;8.40;8.13;403.6;8.0;31.0;12.13;7.18;7.46;
Siros;312.5;1.5;18.0;14.17;8.09;8.51;358.6;6.4;32.9;12.39;7.36;7.22;
Siros;307.0;4.0;21.5;14.97;8.44;8.51;328.9;3.3;31.3;13.22;7.38;7.76;
Siros;296.5;6.5;22.0;13.79;7.64;7.45;324.5;5.2;26.9;12.91;7.39;7.64;
Siros;282.0;7.5;21.5;15.20;8.21;8.59;352.8;10.6;35.9;12.72;7.13;7.71;
Siros;280.0;3.0;18.0;14.59;8.02;8.51;266.5;1.8;25.5;12.44;7.01;7.54;
Siros;345.5;2.5;20.0;15.50;8.63;8.93;362.9;6.8;30.1;13.10;7.57;7.69;
Siros;301.5;4.0;18.5;15.69;8.51;8.74;330.7;6.5;27.1;12.06;7.14;7.24;
Siros;244.0;0.0;16.0;14.36;8.44;8.70;329.9;1.9;25.1;11.72;7.32;7.71;
Siros;294.5;3.5;20.0;14.86;8.63;8.36;319.4;16.8;31.1;12.80;7.35;7.39;
Siros;259.0;4.0;15.0;15.35;8.44;8.44;312.1;10.3;27.9;13.24;8.00;8.14;
Siros;265.0;1.0;16.0;13.79;7.79;7.83;385.3;13.0;28.1;11.97;7.07;7.26;
Siros;342.5;2.5;18.5;14.44;8.13;8.89;354.5;3.2;25.5;13.18;7.53;8.03;
Siros;237.5;2.5;17.5;14.06;8.06;8.40;304.8;3.1;25.3;11.71;6.99;7.67;
Siros;234.0;3.0;19.0;13.38;7.41;8.13;280.5;3.1;22.5;11.26;6.74;7.26;
Siros;257.0;3.0;16.5;13.91;7.98;8.59;324.3;2.4;24.3;12.59;7.63;8.23;
Siros;344.5;3.5;23.0;14.71;8.32;8.74;377.8;4.3;28.5;12.14;7.12;7.67;
Siros;350.5;3.0;18.0;14.71;8.44;8.82;425.1;8.1;26.8;11.66;7.36;7.95;
Siros;290.5;7.0;15.0;14.78;8.21;8.74;367.4;14.4;25.4;12.62;7.92;7.90;
Siros;251.0;3.5;18.0;13.26;7.52;7.64;298.3;7.2;23.2;11.80;7.03;7.44;
Siros;342.5;6.0;18.5;13.49;7.71;7.94;441.4;9.0;31.1;12.26;7.08;7.54;
Siros;254.5;3.5;16.5;14.25;8.32;8.66;297.0;3.1;19.3;11.44;7.55;7.87;
Siros;331.0;3.5;18.0;14.10;8.13;8.28;468.1;7.3;32.2;12.92;7.20;7.77;
Siros;306.0;1.5;16.0;14.06;8.09;8.51;326.9;1.9;25.5;12.02;7.30;7.85;
Siros;255.0;4.0;16.0;14.33;8.25;8.55;300.1;7.2;26.0;13.19;7.97;8.09;
Siros;319.0;7.0;25.5;14.86;8.70;8.85;291.9;3.4;24.9;12.13;7.59;7.73;
Siros;323.0;6.5;19.0;13.64;7.71;7.87;366.0;7.9;30.6;12.77;7.08;7.49;
Siros;252.5;6.0;21.0;13.79;7.87;8.25;348.6;13.4;34.0;12.38;7.03;7.43;
Siros;265.0;4.0;22.0;14.14;8.47;9.20;311.1;4.9;27.3;11.25;7.28;7.91;
Siros;280.5;5.5;18.0;14.67;8.36;8.78;342.6;5.2;23.2;11.98;7.05;7.59;
Siros;419.5;2.5;22.0;13.91;8.02;8.47;427.6;0.9;27.3;11.17;6.78;7.67;
Siros;279.5;4.5;17.5;14.29;8.06;8.70;308.3;10.4;28.6;12.37;7.43;7.83;
Siros;241.0;3.0;17.0;14.10;8.47;8.32;286.2;3.8;24.3;12.36;7.88;7.51;
Siros;251.0;6.0;17.5;15.20;8.47;8.85;345.4;11.4;25.2;14.12;7.87;7.80;
Siros;252.0;3.0;16.0;14.06;7.75;8.28;293.5;8.0;25.5;12.46;7.45;7.79;
Siros;270.5;4.5;14.5;13.15;7.64;7.83;308.5;8.2;25.0;12.44;7.63;7.81;
Siros;333.0;5.5;22.5;15.92;9.20;8.74;360.5;7.0;29.7;13.25;8.17;7.97;
